Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,685.0,690.0,670.0,685.0,685.0,108500
2021-03-02,690.0,690.0,670.0,685.0,685.0,116700
2021-03-03,690.0,695.0,680.0,695.0,695.0,132000
2021-03-04,695.0,695.0,680.0,695.0,695.0,114000
2021-03-05,695.0,695.0,675.0,690.0,690.0,156600
2021-03-08,690.0,695.0,660.0,695.0,695.0,112500
2021-03-09,690.0,690.0,690.0,690.0,690.0,105000
2021-03-10,685.0,690.0,655.0,690.0,690.0,198100
2021-03-12,680.0,680.0,660.0,675.0,675.0,31400
2021-03-15,665.0,675.0,665.0,675.0,675.0,32000
2021-03-16,665.0,670.0,660.0,670.0,670.0,50000
2021-03-17,660.0,670.0,660.0,670.0,670.0,48700
2021-03-18,660.0,670.0,655.0,670.0,670.0,31500
2021-03-19,670.0,670.0,670.0,670.0,670.0,10100
2021-03-22,660.0,670.0,655.0,670.0,670.0,17400
2021-03-23,660.0,670.0,655.0,670.0,670.0,34500
2021-03-24,670.0,670.0,655.0,655.0,655.0,17200
2021-03-25,650.0,660.0,640.0,660.0,660.0,13600
2021-03-26,660.0,660.0,655.0,655.0,655.0,2500
2021-03-29,665.0,665.0,665.0,665.0,665.0,1200
2021-03-30,675.0,675.0,675.0,675.0,675.0,6000
2021-03-31,675.0,675.0,665.0,665.0,665.0,6100
2021-04-01,645.0,675.0,645.0,675.0,675.0,12500
2021-04-05,665.0,675.0,665.0,675.0,675.0,10800
2021-04-06,675.0,675.0,665.0,670.0,670.0,13200
2021-04-07,665.0,670.0,665.0,670.0,670.0,10400
2021-04-08,660.0,700.0,660.0,700.0,700.0,13700
2021-04-09,690.0,690.0,665.0,675.0,675.0,127600
2021-04-12,700.0,700.0,700.0,700.0,700.0,11000
2021-04-13,690.0,690.0,690.0,690.0,690.0,1000
2021-04-14,690.0,695.0,670.0,670.0,670.0,37500
