Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,428.0,430.0,420.0,430.0,430.0,54900
2021-03-02,436.0,436.0,430.0,430.0,430.0,27900
2021-03-03,430.0,442.0,428.0,428.0,428.0,24700
2021-03-04,428.0,442.0,428.0,436.0,436.0,82900
2021-03-05,436.0,436.0,434.0,434.0,434.0,900
2021-03-08,420.0,424.0,414.0,420.0,420.0,10100
2021-03-09,424.0,424.0,420.0,420.0,420.0,3300
2021-03-10,420.0,422.0,418.0,420.0,420.0,35500
2021-03-12,424.0,424.0,418.0,420.0,420.0,70300
2021-03-15,428.0,428.0,424.0,424.0,424.0,1800
2021-03-16,424.0,428.0,418.0,428.0,428.0,4300
2021-03-17,420.0,422.0,420.0,422.0,422.0,1800
2021-03-18,422.0,424.0,422.0,424.0,424.0,4000
2021-03-19,424.0,424.0,424.0,424.0,424.0,0
2021-03-22,426.0,432.0,426.0,428.0,428.0,104200
2021-03-23,430.0,436.0,430.0,430.0,430.0,7300
2021-03-24,430.0,430.0,430.0,430.0,430.0,0
2021-03-25,430.0,450.0,414.0,416.0,416.0,707100
2021-03-26,422.0,422.0,416.0,422.0,422.0,33200
2021-03-29,426.0,460.0,426.0,430.0,430.0,311000
2021-03-30,434.0,434.0,430.0,434.0,434.0,20100
2021-03-31,434.0,434.0,420.0,424.0,424.0,45000
2021-04-01,420.0,430.0,420.0,430.0,430.0,10300
2021-04-05,420.0,422.0,420.0,420.0,420.0,16000
2021-04-06,418.0,434.0,418.0,434.0,434.0,8900
2021-04-07,430.0,432.0,418.0,430.0,430.0,4700
2021-04-08,430.0,432.0,424.0,432.0,432.0,7000
2021-04-09,432.0,432.0,432.0,432.0,432.0,11900
2021-04-12,440.0,440.0,426.0,426.0,426.0,11100
2021-04-13,426.0,428.0,426.0,428.0,428.0,8800
2021-04-14,424.0,424.0,424.0,424.0,424.0,1000
