Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,166.0,166.0,155.0,155.0,155.0,4900
2021-03-02,155.0,181.0,155.0,179.0,179.0,36000
2021-03-03,179.0,182.0,170.0,170.0,170.0,80200
2021-03-04,175.0,175.0,170.0,172.0,172.0,9100
2021-03-05,172.0,172.0,170.0,170.0,170.0,900
2021-03-08,170.0,170.0,159.0,169.0,169.0,19900
2021-03-09,169.0,169.0,160.0,169.0,169.0,4000
2021-03-10,169.0,169.0,169.0,169.0,169.0,700
2021-03-12,169.0,169.0,158.0,168.0,168.0,500
2021-03-15,168.0,168.0,167.0,167.0,167.0,3600
2021-03-16,167.0,208.0,156.0,186.0,186.0,48100
2021-03-17,186.0,193.0,184.0,184.0,184.0,6500
2021-03-18,188.0,190.0,184.0,184.0,184.0,5500
2021-03-19,191.0,191.0,191.0,191.0,191.0,100
2021-03-22,190.0,190.0,186.0,186.0,186.0,1600
2021-03-23,190.0,190.0,185.0,189.0,189.0,17400
2021-03-24,190.0,190.0,190.0,190.0,190.0,100
2021-03-25,190.0,190.0,190.0,190.0,190.0,0
2021-03-26,189.0,189.0,189.0,189.0,189.0,200
2021-03-29,189.0,200.0,189.0,193.0,193.0,14800
2021-03-30,193.0,260.0,180.0,187.0,187.0,178200
2021-03-31,197.0,200.0,180.0,187.0,187.0,46900
2021-04-01,193.0,193.0,181.0,189.0,189.0,32600
2021-04-05,189.0,193.0,187.0,192.0,192.0,15900
2021-04-06,202.0,202.0,192.0,192.0,192.0,137100
2021-04-07,188.0,192.0,188.0,192.0,192.0,200
2021-04-08,189.0,195.0,189.0,192.0,192.0,23300
2021-04-09,194.0,194.0,193.0,194.0,194.0,46700
2021-04-12,194.0,194.0,190.0,190.0,190.0,800
2021-04-13,194.0,194.0,190.0,193.0,193.0,3600
2021-04-14,193.0,210.0,180.0,180.0,180.0,1529800
