Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,104.0,104.0,104.0,104.0,104.0,0
2021-03-02,104.0,104.0,104.0,104.0,104.0,0
2021-03-03,104.0,104.0,104.0,104.0,104.0,0
2021-03-04,104.0,104.0,104.0,104.0,104.0,0
2021-03-05,104.0,104.0,104.0,104.0,104.0,0
2021-03-08,104.0,104.0,104.0,104.0,104.0,0
2021-03-09,104.0,104.0,104.0,104.0,104.0,0
2021-03-10,104.0,104.0,104.0,104.0,104.0,0
2021-03-12,104.0,104.0,104.0,104.0,104.0,0
2021-03-15,104.0,104.0,104.0,104.0,104.0,0
2021-03-16,104.0,104.0,104.0,104.0,104.0,0
2021-03-17,104.0,104.0,104.0,104.0,104.0,0
2021-03-18,104.0,104.0,104.0,104.0,104.0,0
2021-03-19,104.0,104.0,104.0,104.0,104.0,0
2021-03-22,104.0,104.0,104.0,104.0,104.0,0
2021-03-23,104.0,104.0,104.0,104.0,104.0,0
2021-03-24,104.0,104.0,104.0,104.0,104.0,0
2021-03-25,104.0,104.0,104.0,104.0,104.0,0
2021-03-26,104.0,104.0,104.0,104.0,104.0,0
2021-03-29,104.0,104.0,104.0,104.0,104.0,0
2021-03-30,104.0,104.0,104.0,104.0,104.0,0
2021-03-31,104.0,104.0,104.0,104.0,104.0,0
2021-04-01,104.0,104.0,104.0,104.0,104.0,0
2021-04-05,104.0,104.0,104.0,104.0,104.0,0
2021-04-06,104.0,104.0,104.0,104.0,104.0,0
2021-04-07,104.0,104.0,104.0,104.0,104.0,0
2021-04-08,104.0,104.0,104.0,104.0,104.0,0
2021-04-09,104.0,104.0,104.0,104.0,104.0,0
2021-04-12,104.0,104.0,104.0,104.0,104.0,0
2021-04-13,104.0,104.0,104.0,104.0,104.0,0
2021-04-14,104.0,104.0,104.0,104.0,104.0,0
