Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,138.0,141.0,138.0,140.0,140.0,551200
2021-03-02,140.0,141.0,140.0,140.0,140.0,1223300
2021-03-03,140.0,142.0,140.0,141.0,141.0,1139300
2021-03-04,141.0,141.0,140.0,140.0,140.0,659200
2021-03-05,140.0,140.0,139.0,139.0,139.0,570400
2021-03-08,139.0,141.0,139.0,141.0,141.0,780500
2021-03-09,140.0,141.0,140.0,141.0,141.0,682500
2021-03-10,140.0,141.0,139.0,139.0,139.0,718900
2021-03-12,140.0,140.0,139.0,140.0,140.0,537900
2021-03-15,140.0,141.0,140.0,141.0,141.0,612400
2021-03-16,140.0,140.0,139.0,139.0,139.0,770500
2021-03-17,139.0,150.0,138.0,142.0,142.0,2261300
2021-03-18,142.0,142.0,140.0,140.0,140.0,622500
2021-03-19,140.0,142.0,140.0,142.0,142.0,107800
2021-03-22,142.0,143.0,140.0,141.0,141.0,128600
2021-03-23,142.0,143.0,139.0,142.0,142.0,341900
2021-03-24,139.0,142.0,139.0,142.0,142.0,77600
2021-03-25,142.0,142.0,140.0,142.0,142.0,230700
2021-03-26,139.0,143.0,139.0,143.0,143.0,315000
2021-03-29,142.0,143.0,140.0,140.0,140.0,105600
2021-03-30,140.0,142.0,140.0,142.0,142.0,50000
2021-03-31,142.0,143.0,139.0,143.0,143.0,418100
2021-04-01,142.0,142.0,141.0,141.0,141.0,54400
2021-04-05,142.0,142.0,141.0,141.0,141.0,45300
2021-04-06,141.0,141.0,140.0,141.0,141.0,126000
2021-04-07,141.0,141.0,140.0,141.0,141.0,73900
2021-04-08,141.0,142.0,141.0,142.0,142.0,20200
2021-04-09,140.0,144.0,140.0,144.0,144.0,144500
2021-04-12,144.0,150.0,142.0,148.0,148.0,666000
2021-04-13,147.0,149.0,145.0,149.0,149.0,154800
2021-04-14,149.0,149.0,145.0,148.0,148.0,70500
