Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,350.0,360.0,350.0,356.0,356.0,202000
2021-03-02,356.0,362.0,356.0,356.0,356.0,392100
2021-03-03,364.0,370.0,356.0,362.0,362.0,794300
2021-03-04,362.0,364.0,356.0,364.0,364.0,248400
2021-03-05,362.0,362.0,354.0,358.0,358.0,409400
2021-03-08,358.0,362.0,358.0,360.0,360.0,30400
2021-03-09,362.0,362.0,354.0,354.0,354.0,252300
2021-03-10,354.0,362.0,354.0,358.0,358.0,367200
2021-03-12,358.0,362.0,354.0,356.0,356.0,629600
2021-03-15,356.0,360.0,356.0,356.0,356.0,292400
2021-03-16,358.0,362.0,358.0,358.0,358.0,297100
2021-03-17,360.0,364.0,334.0,334.0,334.0,1084400
2021-03-18,340.0,360.0,324.0,346.0,346.0,4822800
2021-03-19,346.0,352.0,342.0,350.0,350.0,340100
2021-03-22,348.0,352.0,332.0,348.0,348.0,171300
2021-03-23,348.0,350.0,342.0,346.0,346.0,200700
2021-03-24,348.0,348.0,338.0,342.0,342.0,410100
2021-03-25,342.0,344.0,338.0,338.0,338.0,84300
2021-03-26,340.0,340.0,338.0,338.0,338.0,377400
2021-03-29,340.0,344.0,336.0,338.0,338.0,133100
2021-03-30,340.0,340.0,334.0,334.0,334.0,241100
2021-03-31,334.0,338.0,328.0,330.0,330.0,291400
2021-04-01,336.0,338.0,332.0,332.0,332.0,130600
2021-04-05,332.0,334.0,330.0,330.0,330.0,111500
2021-04-06,338.0,338.0,330.0,336.0,336.0,33800
2021-04-07,336.0,338.0,332.0,334.0,334.0,7600
2021-04-08,334.0,338.0,332.0,338.0,338.0,75400
2021-04-09,338.0,340.0,336.0,336.0,336.0,139700
2021-04-12,342.0,342.0,334.0,334.0,334.0,64500
2021-04-13,334.0,338.0,332.0,332.0,332.0,98600
2021-04-14,334.0,336.0,332.0,336.0,336.0,101600
