Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,328.0,332.0,326.0,332.0,332.0,371300
2021-03-02,332.0,336.0,328.0,332.0,332.0,223200
2021-03-03,332.0,334.0,324.0,334.0,334.0,1109700
2021-03-04,336.0,338.0,326.0,328.0,328.0,796400
2021-03-05,328.0,330.0,326.0,326.0,326.0,504800
2021-03-08,326.0,330.0,324.0,326.0,326.0,927200
2021-03-09,328.0,334.0,324.0,326.0,326.0,1131500
2021-03-10,330.0,332.0,324.0,326.0,326.0,1359300
2021-03-12,326.0,350.0,326.0,344.0,344.0,2940300
2021-03-15,350.0,366.0,342.0,350.0,350.0,5211900
2021-03-16,350.0,352.0,334.0,334.0,334.0,1283700
2021-03-17,334.0,344.0,328.0,330.0,330.0,1896700
2021-03-18,330.0,338.0,328.0,334.0,334.0,858200
2021-03-19,340.0,340.0,330.0,330.0,330.0,341100
2021-03-22,330.0,334.0,326.0,330.0,330.0,1206200
2021-03-23,330.0,334.0,328.0,330.0,330.0,423700
2021-03-24,332.0,332.0,326.0,328.0,328.0,661100
2021-03-25,328.0,330.0,324.0,326.0,326.0,185900
2021-03-26,326.0,328.0,322.0,324.0,324.0,625500
2021-03-29,324.0,328.0,318.0,320.0,320.0,756600
2021-03-30,324.0,324.0,312.0,312.0,312.0,1439600
2021-03-31,312.0,312.0,302.0,304.0,304.0,871000
2021-04-01,306.0,318.0,306.0,316.0,316.0,211900
2021-04-05,318.0,320.0,310.0,316.0,316.0,233400
2021-04-06,316.0,318.0,312.0,316.0,316.0,71400
2021-04-07,316.0,318.0,312.0,318.0,318.0,86400
2021-04-08,320.0,320.0,316.0,318.0,318.0,137600
2021-04-09,318.0,320.0,316.0,320.0,320.0,164000
2021-04-12,320.0,320.0,314.0,316.0,316.0,206300
2021-04-13,316.0,318.0,306.0,312.0,312.0,182100
2021-04-14,312.0,316.0,308.0,312.0,312.0,170500
