Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,130.0,133.0,129.0,133.0,133.0,201800
2021-03-02,135.0,149.0,135.0,143.0,143.0,3035400
2021-03-03,145.0,160.0,144.0,150.0,150.0,3585600
2021-03-04,155.0,155.0,140.0,144.0,144.0,2857300
2021-03-05,143.0,143.0,134.0,136.0,136.0,1463200
2021-03-08,136.0,145.0,136.0,142.0,142.0,431900
2021-03-09,142.0,142.0,138.0,140.0,140.0,656300
2021-03-10,138.0,142.0,135.0,141.0,141.0,197600
2021-03-12,142.0,144.0,138.0,143.0,143.0,403300
2021-03-15,143.0,149.0,143.0,146.0,146.0,562400
2021-03-16,150.0,150.0,144.0,148.0,148.0,1483700
2021-03-17,152.0,152.0,144.0,149.0,149.0,1252000
2021-03-18,149.0,150.0,145.0,148.0,148.0,797500
2021-03-19,145.0,150.0,145.0,150.0,150.0,522800
2021-03-22,149.0,168.0,149.0,165.0,165.0,4465900
2021-03-23,167.0,168.0,155.0,155.0,155.0,1397300
2021-03-24,155.0,160.0,150.0,153.0,153.0,1455500
2021-03-25,156.0,159.0,148.0,153.0,153.0,714300
2021-03-26,152.0,157.0,152.0,157.0,157.0,303800
2021-03-29,157.0,164.0,154.0,157.0,157.0,316900
2021-03-30,157.0,157.0,147.0,154.0,154.0,518400
2021-03-31,154.0,158.0,150.0,152.0,152.0,493300
2021-04-01,150.0,157.0,150.0,150.0,150.0,303200
2021-04-05,152.0,152.0,150.0,151.0,151.0,607800
2021-04-06,150.0,178.0,142.0,148.0,148.0,6018800
2021-04-07,147.0,155.0,147.0,147.0,147.0,2074900
2021-04-08,149.0,151.0,148.0,149.0,149.0,971600
2021-04-09,149.0,150.0,147.0,148.0,148.0,786300
2021-04-12,148.0,151.0,145.0,145.0,145.0,2072400
2021-04-14,143.0,146.0,143.0,145.0,145.0,502200
