Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,340.0,356.0,338.0,338.0,338.0,71900
2021-03-02,338.0,338.0,316.0,316.0,316.0,127500
2021-03-03,316.0,324.0,316.0,320.0,320.0,67800
2021-03-04,320.0,344.0,316.0,320.0,320.0,46500
2021-03-05,320.0,320.0,314.0,314.0,314.0,37100
2021-03-08,310.0,310.0,294.0,300.0,300.0,89100
2021-03-09,300.0,304.0,280.0,284.0,284.0,70600
2021-03-10,284.0,284.0,274.0,282.0,282.0,22700
2021-03-12,278.0,294.0,278.0,290.0,290.0,17300
2021-03-15,290.0,302.0,280.0,282.0,282.0,20700
2021-03-16,282.0,282.0,264.0,270.0,270.0,69300
2021-03-17,270.0,280.0,270.0,278.0,278.0,20700
2021-03-18,278.0,278.0,260.0,268.0,268.0,40000
2021-03-19,262.0,284.0,260.0,266.0,266.0,26700
2021-03-22,266.0,272.0,262.0,264.0,264.0,8800
2021-03-23,264.0,264.0,262.0,262.0,262.0,5900
2021-03-24,262.0,286.0,256.0,256.0,256.0,11400
2021-03-25,268.0,320.0,260.0,320.0,320.0,425700
2021-03-26,338.0,400.0,298.0,298.0,298.0,3333300
2021-03-29,278.0,278.0,278.0,278.0,278.0,158000
2021-03-30,278.0,310.0,260.0,260.0,260.0,1127100
2021-03-31,262.0,262.0,242.0,248.0,248.0,245800
2021-04-01,246.0,250.0,240.0,240.0,240.0,87000
2021-04-05,234.0,270.0,226.0,230.0,230.0,166100
2021-04-06,244.0,244.0,230.0,230.0,230.0,124400
2021-04-07,230.0,236.0,230.0,232.0,232.0,23000
2021-04-08,232.0,242.0,232.0,236.0,236.0,109200
2021-04-09,236.0,266.0,236.0,236.0,236.0,96100
2021-04-12,240.0,254.0,238.0,242.0,242.0,118700
2021-04-14,242.0,250.0,234.0,236.0,236.0,92600
