Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,344.0,344.0,322.0,344.0,344.0,1200
2021-03-02,324.0,324.0,324.0,324.0,324.0,400
2021-03-03,324.0,398.0,324.0,370.0,370.0,17100
2021-03-04,370.0,370.0,370.0,370.0,370.0,100
2021-03-05,370.0,370.0,346.0,346.0,346.0,6300
2021-03-08,346.0,346.0,322.0,322.0,322.0,15100
2021-03-09,322.0,380.0,304.0,306.0,306.0,17400
2021-03-10,306.0,310.0,306.0,308.0,308.0,3100
2021-03-12,348.0,348.0,344.0,346.0,346.0,7300
2021-03-15,346.0,346.0,324.0,334.0,334.0,3700
2021-03-16,318.0,330.0,318.0,320.0,320.0,1800
2021-03-17,320.0,370.0,320.0,340.0,340.0,13200
2021-03-18,340.0,340.0,318.0,318.0,318.0,6800
2021-03-19,298.0,310.0,298.0,310.0,310.0,400
2021-03-22,310.0,310.0,310.0,310.0,310.0,0
2021-03-23,312.0,360.0,312.0,314.0,314.0,27700
2021-03-24,314.0,318.0,314.0,316.0,316.0,2300
2021-03-25,302.0,308.0,302.0,308.0,308.0,9900
2021-03-26,308.0,308.0,308.0,308.0,308.0,4100
2021-03-29,308.0,348.0,294.0,320.0,320.0,15400
2021-03-30,320.0,356.0,300.0,302.0,302.0,17500
2021-03-31,282.0,324.0,282.0,318.0,318.0,6500
2021-04-01,338.0,338.0,296.0,296.0,296.0,2200
2021-04-05,296.0,326.0,282.0,282.0,282.0,5100
2021-04-06,282.0,320.0,282.0,290.0,290.0,4100
2021-04-07,290.0,326.0,290.0,316.0,316.0,7100
2021-04-08,316.0,316.0,294.0,308.0,308.0,8900
2021-04-09,308.0,310.0,292.0,296.0,296.0,1800
2021-04-12,296.0,370.0,288.0,296.0,296.0,99300
2021-04-14,310.0,314.0,290.0,294.0,294.0,8800
