Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,210.0,226.0,210.0,226.0,226.0,2700
2021-03-02,226.0,226.0,226.0,226.0,226.0,0
2021-03-03,226.0,230.0,212.0,212.0,212.0,4100
2021-03-04,216.0,216.0,210.0,210.0,210.0,800
2021-03-05,214.0,214.0,202.0,202.0,202.0,1400
2021-03-08,194.0,206.0,194.0,196.0,196.0,1400
2021-03-09,196.0,264.0,196.0,264.0,264.0,834800
2021-03-10,282.0,286.0,246.0,246.0,246.0,152100
2021-03-12,230.0,230.0,230.0,230.0,230.0,11000
2021-03-15,214.0,230.0,214.0,214.0,214.0,194600
2021-03-16,200.0,212.0,200.0,200.0,200.0,103500
2021-03-17,196.0,228.0,196.0,210.0,210.0,18700
2021-03-18,210.0,218.0,196.0,214.0,214.0,19200
2021-03-19,218.0,218.0,200.0,204.0,204.0,29100
2021-03-22,204.0,244.0,202.0,222.0,222.0,182700
2021-03-23,222.0,228.0,222.0,226.0,226.0,10300
2021-03-24,226.0,226.0,226.0,226.0,226.0,13200
2021-03-25,214.0,216.0,212.0,212.0,212.0,1000
2021-03-26,200.0,230.0,198.0,224.0,224.0,59700
2021-03-29,224.0,224.0,210.0,210.0,210.0,3200
2021-03-30,210.0,210.0,204.0,204.0,204.0,52200
2021-03-31,220.0,220.0,212.0,212.0,212.0,500
2021-04-01,212.0,226.0,202.0,202.0,202.0,3800
2021-04-05,202.0,216.0,202.0,212.0,212.0,5400
2021-04-06,212.0,212.0,200.0,200.0,200.0,9700
2021-04-07,200.0,212.0,198.0,208.0,208.0,6700
2021-04-08,208.0,208.0,206.0,206.0,206.0,2200
2021-04-09,206.0,208.0,192.0,206.0,206.0,9100
2021-04-12,206.0,206.0,206.0,206.0,206.0,2500
2021-04-14,202.0,202.0,194.0,200.0,200.0,3100
