Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,130.0,134.0,128.0,129.0,129.0,227700
2021-03-02,130.0,131.0,129.0,129.0,129.0,191300
2021-03-03,130.0,134.0,129.0,131.0,131.0,234300
2021-03-04,134.0,150.0,128.0,136.0,136.0,1295400
2021-03-05,139.0,139.0,130.0,134.0,134.0,213400
2021-03-08,134.0,134.0,129.0,132.0,132.0,78100
2021-03-09,130.0,132.0,129.0,129.0,129.0,249900
2021-03-10,129.0,129.0,128.0,129.0,129.0,50600
2021-03-12,129.0,131.0,126.0,130.0,130.0,317300
2021-03-15,130.0,130.0,125.0,127.0,127.0,110000
2021-03-16,127.0,133.0,124.0,133.0,133.0,75900
2021-03-17,131.0,131.0,126.0,126.0,126.0,92500
2021-03-18,127.0,130.0,126.0,126.0,126.0,48500
2021-03-19,126.0,137.0,125.0,130.0,130.0,1611100
2021-03-22,132.0,132.0,127.0,127.0,127.0,139400
2021-03-23,126.0,130.0,126.0,126.0,126.0,162800
2021-03-24,128.0,130.0,124.0,127.0,127.0,64400
2021-03-25,130.0,130.0,123.0,123.0,123.0,172800
2021-03-26,123.0,130.0,123.0,125.0,125.0,125500
2021-03-29,127.0,130.0,121.0,127.0,127.0,186400
2021-03-30,127.0,130.0,121.0,121.0,121.0,650600
2021-03-31,128.0,128.0,121.0,123.0,123.0,35800
2021-04-01,121.0,126.0,121.0,123.0,123.0,113400
2021-04-05,123.0,126.0,121.0,121.0,121.0,44700
2021-04-06,121.0,126.0,120.0,122.0,122.0,32800
2021-04-07,125.0,127.0,122.0,122.0,122.0,32900
2021-04-08,125.0,128.0,124.0,124.0,124.0,103700
2021-04-09,124.0,129.0,124.0,125.0,125.0,417700
2021-04-12,129.0,129.0,124.0,125.0,125.0,1190900
2021-04-14,125.0,132.0,125.0,131.0,131.0,1337400
