Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,101.0,113.0,97.0,107.0,107.0,521495100
2021-03-02,107.0,121.0,100.0,100.0,100.0,1168201100
2021-03-03,101.0,108.0,97.0,100.0,100.0,963363000
2021-03-04,104.0,107.0,98.0,102.0,102.0,784230100
2021-03-05,103.0,104.0,99.0,100.0,100.0,229080500
2021-03-08,101.0,101.0,93.0,93.0,93.0,300186300
2021-03-09,93.0,96.0,87.0,91.0,91.0,264741100
2021-03-10,87.0,95.0,87.0,91.0,91.0,95738600
2021-03-12,91.0,94.0,91.0,93.0,93.0,72674700
2021-03-15,94.0,94.0,90.0,91.0,91.0,52595800
2021-03-16,92.0,92.0,87.0,90.0,90.0,81142100
2021-03-17,90.0,91.0,87.0,88.0,88.0,54879700
2021-03-18,88.0,94.0,87.0,91.0,91.0,126922700
2021-03-19,91.0,92.0,89.0,89.0,89.0,56254800
2021-03-22,89.0,90.0,87.0,87.0,87.0,38835700
2021-03-23,88.0,88.0,82.0,83.0,83.0,58823800
2021-03-24,84.0,86.0,80.0,81.0,81.0,107283300
2021-03-25,81.0,83.0,76.0,78.0,78.0,62850600
2021-03-26,79.0,83.0,76.0,82.0,82.0,75213900
2021-03-29,82.0,86.0,79.0,83.0,83.0,73574300
2021-03-30,83.0,84.0,80.0,80.0,80.0,31057200
2021-03-31,80.0,82.0,77.0,80.0,80.0,32977100
2021-04-01,80.0,81.0,78.0,79.0,79.0,17889900
2021-04-05,79.0,80.0,76.0,77.0,77.0,41067800
2021-04-06,77.0,78.0,72.0,74.0,74.0,77139400
2021-04-07,74.0,96.0,74.0,95.0,95.0,338725700
2021-04-08,97.0,113.0,95.0,111.0,111.0,1131117800
2021-04-09,113.0,137.0,104.0,128.0,128.0,1527778300
2021-04-12,132.0,141.0,125.0,131.0,131.0,648423100
2021-04-14,114.0,117.0,114.0,114.0,114.0,38882500
