Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,3820.0,3850.0,3720.0,3750.0,3750.0,2742400
2021-03-02,3750.0,4400.0,3740.0,4320.0,4320.0,2667200
2021-03-03,4330.0,4700.0,4260.0,4640.0,4640.0,2419400
2021-03-04,4640.0,5275.0,4430.0,5125.0,5125.0,2487700
2021-03-05,5150.0,5575.0,4900.0,5150.0,5150.0,2170900
2021-03-08,5175.0,5200.0,4970.0,5150.0,5150.0,2706700
2021-03-09,5150.0,5275.0,4930.0,4960.0,4960.0,2146200
2021-03-10,4950.0,5125.0,4900.0,5025.0,5025.0,2808300
2021-03-12,5025.0,5975.0,5025.0,5900.0,5900.0,1812500
2021-03-15,5950.0,6050.0,5600.0,5700.0,5700.0,2784000
2021-03-16,5700.0,6000.0,5600.0,5875.0,5875.0,2492200
2021-03-17,5875.0,6000.0,5700.0,5725.0,5725.0,2358000
2021-03-18,5775.0,5800.0,5375.0,5425.0,5425.0,2092300
2021-03-19,5425.0,5450.0,5050.0,5225.0,5225.0,3391200
2021-03-22,5325.0,5325.0,4860.0,4860.0,4860.0,2817900
2021-03-23,4860.0,4860.0,4520.0,4530.0,4530.0,2768400
2021-03-24,4520.0,4600.0,4290.0,4300.0,4300.0,3064600
2021-03-25,4350.0,4410.0,4060.0,4220.0,4220.0,3185400
2021-03-26,4270.0,4390.0,3930.0,4300.0,4300.0,2265100
2021-03-29,4300.0,4400.0,4000.0,4000.0,4000.0,3886200
2021-03-30,4000.0,4000.0,3720.0,3820.0,3820.0,3404800
2021-03-31,3820.0,3920.0,3610.0,3820.0,3820.0,2888000
2021-04-01,3890.0,3910.0,3570.0,3570.0,3570.0,3170700
2021-04-05,3620.0,3620.0,3330.0,3430.0,3430.0,2798500
2021-04-06,3480.0,3480.0,3240.0,3300.0,3300.0,3648700
2021-04-07,3300.0,3380.0,3080.0,3240.0,3240.0,2743500
2021-04-08,3280.0,3590.0,3110.0,3530.0,3530.0,4428900
2021-04-09,3570.0,3630.0,3290.0,3290.0,3290.0,3444400
2021-04-12,3300.0,3300.0,3060.0,3060.0,3060.0,2486700
2021-04-14,2850.0,3000.0,2670.0,2870.0,2870.0,5593900
