Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,580.0,580.0,575.0,575.0,575.0,5200
2021-03-02,540.0,570.0,540.0,550.0,550.0,13100
2021-03-03,550.0,680.0,515.0,630.0,630.0,29300
2021-03-04,630.0,685.0,590.0,645.0,645.0,18700
2021-03-05,645.0,645.0,600.0,600.0,600.0,4500
2021-03-08,600.0,600.0,560.0,580.0,580.0,15500
2021-03-09,580.0,580.0,540.0,540.0,540.0,13500
2021-03-10,540.0,540.0,515.0,535.0,535.0,3900
2021-03-12,535.0,540.0,535.0,535.0,535.0,1900
2021-03-15,535.0,535.0,498.0,535.0,535.0,2500
2021-03-16,500.0,500.0,498.0,498.0,498.0,11300
2021-03-17,498.0,530.0,498.0,500.0,500.0,24200
2021-03-18,500.0,500.0,490.0,500.0,500.0,5700
2021-03-19,468.0,492.0,468.0,490.0,490.0,600
2021-03-22,492.0,492.0,490.0,490.0,490.0,1300
2021-03-23,462.0,490.0,462.0,490.0,490.0,1200
2021-03-24,490.0,490.0,470.0,470.0,470.0,200
2021-03-25,460.0,470.0,458.0,458.0,458.0,19200
2021-03-26,460.0,530.0,440.0,520.0,520.0,44300
2021-03-29,510.0,515.0,500.0,500.0,500.0,5700
2021-03-30,500.0,570.0,470.0,515.0,515.0,31400
2021-03-31,515.0,515.0,496.0,510.0,510.0,3100
2021-04-01,510.0,510.0,484.0,500.0,500.0,600
2021-04-05,500.0,500.0,500.0,500.0,500.0,0
2021-04-06,468.0,468.0,466.0,466.0,466.0,47600
2021-04-07,464.0,498.0,438.0,486.0,486.0,69700
2021-04-08,488.0,500.0,452.0,452.0,452.0,56400
2021-04-09,452.0,478.0,452.0,466.0,466.0,23900
2021-04-12,466.0,466.0,434.0,434.0,434.0,31900
2021-04-14,420.0,458.0,400.0,400.0,400.0,10800
