Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,496.0,496.0,492.0,492.0,492.0,400
2021-03-02,494.0,494.0,460.0,494.0,494.0,4700
2021-03-03,505.0,505.0,460.0,460.0,460.0,2300
2021-03-04,464.0,464.0,434.0,434.0,434.0,3700
2021-03-05,428.0,500.0,428.0,478.0,478.0,6500
2021-03-08,478.0,484.0,478.0,478.0,478.0,3300
2021-03-09,446.0,448.0,446.0,448.0,448.0,3400
2021-03-10,422.0,448.0,418.0,420.0,420.0,1200
2021-03-12,400.0,520.0,400.0,424.0,424.0,26700
2021-03-15,424.0,505.0,420.0,460.0,460.0,16000
2021-03-16,458.0,460.0,434.0,434.0,434.0,6700
2021-03-17,434.0,500.0,434.0,498.0,498.0,6000
2021-03-18,498.0,498.0,464.0,466.0,466.0,19900
2021-03-19,466.0,466.0,436.0,446.0,446.0,5000
2021-03-22,444.0,500.0,444.0,500.0,500.0,12800
2021-03-23,500.0,500.0,468.0,498.0,498.0,1200
2021-03-24,498.0,498.0,498.0,498.0,498.0,0
2021-03-25,498.0,498.0,498.0,498.0,498.0,0
2021-03-26,498.0,498.0,498.0,498.0,498.0,0
2021-03-29,490.0,490.0,490.0,490.0,490.0,100
2021-03-30,470.0,488.0,466.0,466.0,466.0,4900
2021-03-31,446.0,490.0,436.0,436.0,436.0,4600
2021-04-01,420.0,525.0,420.0,496.0,496.0,27000
2021-04-05,515.0,515.0,488.0,498.0,498.0,5600
2021-04-06,464.0,464.0,464.0,464.0,464.0,3700
2021-04-07,464.0,464.0,434.0,434.0,434.0,3800
2021-04-08,434.0,520.0,434.0,440.0,440.0,6400
2021-04-09,420.0,520.0,420.0,500.0,500.0,11000
2021-04-12,468.0,500.0,466.0,468.0,468.0,5300
2021-04-14,444.0,498.0,444.0,496.0,496.0,13400
