Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,220.0,228.0,218.0,226.0,226.0,6524300
2021-03-02,226.0,230.0,220.0,220.0,220.0,8660000
2021-03-03,222.0,224.0,218.0,218.0,218.0,6912400
2021-03-04,218.0,220.0,212.0,216.0,216.0,7099700
2021-03-05,214.0,214.0,206.0,210.0,210.0,6903200
2021-03-08,210.0,216.0,208.0,208.0,208.0,6214500
2021-03-09,200.0,214.0,200.0,206.0,206.0,6777300
2021-03-10,210.0,218.0,208.0,212.0,212.0,8515300
2021-03-12,214.0,218.0,210.0,214.0,214.0,6438900
2021-03-15,216.0,226.0,214.0,220.0,220.0,12303900
2021-03-16,222.0,224.0,218.0,224.0,224.0,8592100
2021-03-17,224.0,228.0,220.0,220.0,220.0,7927600
2021-03-18,222.0,226.0,220.0,220.0,220.0,6600900
2021-03-19,220.0,224.0,214.0,214.0,214.0,6080800
2021-03-22,214.0,218.0,212.0,216.0,216.0,5265100
2021-03-23,216.0,218.0,210.0,210.0,210.0,5984300
2021-03-24,210.0,212.0,204.0,204.0,204.0,5986300
2021-03-25,204.0,206.0,198.0,202.0,202.0,6478400
2021-03-26,204.0,210.0,200.0,208.0,208.0,6924400
2021-03-29,208.0,210.0,206.0,206.0,206.0,5864200
2021-03-30,206.0,208.0,200.0,200.0,200.0,5734400
2021-03-31,200.0,200.0,192.0,194.0,194.0,7054900
2021-04-01,194.0,199.0,192.0,195.0,195.0,5826200
2021-04-05,196.0,200.0,187.0,187.0,187.0,6519600
2021-04-06,192.0,195.0,185.0,195.0,195.0,6700000
2021-04-07,194.0,197.0,190.0,191.0,191.0,6020800
2021-04-08,191.0,196.0,191.0,195.0,195.0,7003700
2021-04-09,195.0,204.0,195.0,202.0,202.0,5631800
2021-04-12,202.0,204.0,196.0,204.0,204.0,7356100
2021-04-14,202.0,204.0,198.0,202.0,202.0,5995700
