Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,85.0,90.0,83.0,87.0,87.0,806091000
2021-03-02,87.0,90.0,83.0,83.0,83.0,261297300
2021-03-03,85.0,85.0,80.0,81.0,81.0,144031300
2021-03-04,80.0,83.0,78.0,80.0,80.0,229359500
2021-03-05,80.0,81.0,76.0,78.0,78.0,227058600
2021-03-08,79.0,80.0,77.0,77.0,77.0,76325100
2021-03-09,77.0,79.0,75.0,76.0,76.0,107652200
2021-03-10,77.0,81.0,76.0,77.0,77.0,148054500
2021-03-12,78.0,79.0,77.0,79.0,79.0,67322700
2021-03-15,79.0,81.0,78.0,81.0,81.0,125367500
2021-03-16,83.0,85.0,80.0,80.0,80.0,260273200
2021-03-17,81.0,82.0,79.0,80.0,80.0,90448300
2021-03-18,80.0,81.0,78.0,79.0,79.0,67703400
2021-03-19,79.0,80.0,78.0,79.0,79.0,50671100
2021-03-22,78.0,80.0,78.0,79.0,79.0,39287000
2021-03-23,79.0,80.0,77.0,77.0,77.0,52225100
2021-03-24,78.0,79.0,76.0,77.0,77.0,67471200
2021-03-25,77.0,78.0,74.0,75.0,75.0,60309400
2021-03-26,76.0,77.0,75.0,77.0,77.0,44229200
2021-03-29,77.0,78.0,75.0,75.0,75.0,34178700
2021-03-30,77.0,78.0,73.0,75.0,75.0,48649000
2021-03-31,75.0,75.0,70.0,72.0,72.0,103832900
2021-04-01,71.0,73.0,71.0,72.0,72.0,34989900
2021-04-05,72.0,73.0,67.0,67.0,67.0,165903100
2021-04-06,68.0,69.0,64.0,68.0,68.0,100248400
2021-04-07,68.0,70.0,66.0,68.0,68.0,86413700
2021-04-08,69.0,75.0,68.0,72.0,72.0,195366000
2021-04-09,72.0,73.0,70.0,70.0,70.0,77882800
2021-04-12,71.0,71.0,68.0,68.0,68.0,34866000
2021-04-14,68.0,71.0,68.0,70.0,70.0,52148500
