Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,206.0,206.0,198.0,200.0,200.0,1372400
2021-03-02,200.0,206.0,198.0,200.0,200.0,911500
2021-03-03,200.0,204.0,199.0,199.0,199.0,290200
2021-03-04,199.0,216.0,196.0,198.0,198.0,4458400
2021-03-05,198.0,208.0,198.0,200.0,200.0,1247300
2021-03-08,202.0,206.0,198.0,200.0,200.0,879000
2021-03-09,202.0,204.0,199.0,202.0,202.0,810700
2021-03-10,202.0,220.0,197.0,199.0,199.0,7010600
2021-03-12,200.0,202.0,199.0,200.0,200.0,651100
2021-03-15,200.0,204.0,200.0,200.0,200.0,738400
2021-03-16,200.0,204.0,197.0,199.0,199.0,1462700
2021-03-17,202.0,202.0,193.0,196.0,196.0,3019800
2021-03-18,197.0,200.0,189.0,190.0,190.0,4565200
2021-03-19,195.0,195.0,181.0,183.0,183.0,5293200
2021-03-22,184.0,186.0,173.0,180.0,180.0,3247600
2021-03-23,180.0,181.0,178.0,179.0,179.0,818500
2021-03-24,180.0,180.0,176.0,177.0,177.0,249200
2021-03-25,180.0,180.0,174.0,176.0,176.0,526700
2021-03-26,176.0,183.0,175.0,180.0,180.0,1375500
2021-03-29,180.0,184.0,178.0,180.0,180.0,798200
2021-03-30,180.0,183.0,177.0,177.0,177.0,547500
2021-03-31,177.0,181.0,174.0,174.0,174.0,226200
2021-04-01,177.0,180.0,172.0,176.0,176.0,384500
2021-04-05,177.0,180.0,172.0,178.0,178.0,191300
2021-04-06,178.0,178.0,174.0,178.0,178.0,158700
2021-04-07,178.0,181.0,176.0,179.0,179.0,680900
2021-04-08,176.0,181.0,176.0,179.0,179.0,526400
2021-04-09,179.0,180.0,178.0,179.0,179.0,386300
2021-04-12,179.0,183.0,177.0,181.0,181.0,617400
2021-04-14,180.0,183.0,174.0,175.0,175.0,3065300
