Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,182.0,184.0,179.0,182.0,182.0,822100
2021-03-02,183.0,183.0,180.0,182.0,182.0,1374400
2021-03-03,183.0,183.0,180.0,181.0,181.0,5262900
2021-03-04,181.0,181.0,176.0,179.0,179.0,409700
2021-03-05,178.0,184.0,178.0,184.0,184.0,3665600
2021-03-08,185.0,198.0,185.0,194.0,194.0,5436500
2021-03-09,198.0,202.0,195.0,200.0,200.0,6691600
2021-03-10,202.0,202.0,191.0,195.0,195.0,3608600
2021-03-12,195.0,202.0,191.0,199.0,199.0,4822200
2021-03-15,200.0,202.0,197.0,200.0,200.0,6414400
2021-03-16,202.0,208.0,191.0,206.0,206.0,6976400
2021-03-17,206.0,214.0,199.0,210.0,210.0,3739000
2021-03-18,210.0,210.0,202.0,202.0,202.0,8307900
2021-03-19,202.0,202.0,196.0,197.0,197.0,2157700
2021-03-22,197.0,200.0,197.0,198.0,198.0,62400
2021-03-23,198.0,202.0,194.0,196.0,196.0,490300
2021-03-24,198.0,198.0,193.0,197.0,197.0,4397900
2021-03-25,197.0,200.0,195.0,196.0,196.0,879000
2021-03-26,196.0,208.0,195.0,208.0,208.0,4329200
2021-03-29,208.0,216.0,208.0,214.0,214.0,4716500
2021-03-30,214.0,216.0,204.0,206.0,206.0,3099400
2021-03-31,206.0,206.0,198.0,199.0,199.0,2015200
2021-04-01,202.0,204.0,202.0,204.0,204.0,767400
2021-04-05,204.0,210.0,200.0,210.0,210.0,3155200
2021-04-06,210.0,236.0,210.0,232.0,232.0,10088600
2021-04-07,232.0,232.0,222.0,230.0,230.0,6815700
2021-04-08,232.0,232.0,224.0,230.0,230.0,3111400
2021-04-09,230.0,232.0,228.0,228.0,228.0,907400
2021-04-12,228.0,232.0,226.0,230.0,230.0,1660700
2021-04-14,220.0,226.0,216.0,226.0,226.0,6411700
