Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,202.0,206.0,202.0,204.0,204.0,824700
2021-03-02,204.0,208.0,202.0,204.0,204.0,1339000
2021-03-03,204.0,214.0,202.0,206.0,206.0,4756800
2021-03-04,206.0,206.0,200.0,202.0,202.0,2158100
2021-03-05,202.0,204.0,199.0,200.0,200.0,1237300
2021-03-08,200.0,204.0,200.0,200.0,200.0,1623800
2021-03-09,200.0,206.0,199.0,199.0,199.0,1330700
2021-03-10,199.0,204.0,198.0,202.0,202.0,1905900
2021-03-12,202.0,204.0,200.0,202.0,202.0,1584300
2021-03-15,202.0,204.0,200.0,202.0,202.0,990400
2021-03-16,202.0,204.0,200.0,202.0,202.0,796000
2021-03-17,202.0,204.0,200.0,200.0,200.0,1168600
2021-03-18,202.0,206.0,200.0,202.0,202.0,1389600
2021-03-19,202.0,206.0,200.0,204.0,204.0,964000
2021-03-22,206.0,206.0,202.0,202.0,202.0,804700
2021-03-23,204.0,204.0,200.0,202.0,202.0,496400
2021-03-24,204.0,204.0,199.0,199.0,199.0,1085500
2021-03-25,199.0,200.0,195.0,198.0,198.0,1803300
2021-03-26,200.0,202.0,197.0,199.0,199.0,896700
2021-03-29,199.0,202.0,198.0,199.0,199.0,489200
2021-03-30,200.0,200.0,197.0,197.0,197.0,222400
2021-03-31,197.0,199.0,195.0,197.0,197.0,768800
2021-04-01,197.0,200.0,196.0,198.0,198.0,342000
2021-04-05,202.0,214.0,200.0,206.0,206.0,10169300
2021-04-06,208.0,220.0,206.0,214.0,214.0,12396200
2021-04-07,216.0,220.0,212.0,214.0,214.0,5825400
2021-04-08,218.0,218.0,206.0,210.0,210.0,3090400
2021-04-09,210.0,210.0,202.0,204.0,204.0,3449800
2021-04-12,204.0,206.0,200.0,200.0,200.0,1249400
2021-04-14,206.0,206.0,200.0,202.0,202.0,1012700
