Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,300.0,300.0,284.0,286.0,286.0,62900
2021-03-02,286.0,286.0,268.0,272.0,272.0,22400
2021-03-03,266.0,266.0,256.0,266.0,266.0,7500
2021-03-04,260.0,266.0,260.0,266.0,266.0,7700
2021-03-05,266.0,268.0,250.0,268.0,268.0,9300
2021-03-08,268.0,268.0,268.0,268.0,268.0,0
2021-03-09,250.0,276.0,250.0,276.0,276.0,2900
2021-03-10,258.0,272.0,258.0,270.0,270.0,41800
2021-03-12,268.0,270.0,266.0,270.0,270.0,38700
2021-03-15,252.0,336.0,252.0,336.0,336.0,131400
2021-03-16,338.0,420.0,314.0,320.0,320.0,518000
2021-03-17,320.0,320.0,298.0,298.0,298.0,58300
2021-03-18,280.0,282.0,280.0,282.0,282.0,3700
2021-03-19,276.0,280.0,276.0,280.0,280.0,600
2021-03-22,280.0,300.0,280.0,294.0,294.0,12100
2021-03-23,294.0,294.0,278.0,278.0,278.0,22500
2021-03-24,290.0,290.0,278.0,278.0,278.0,4100
2021-03-25,278.0,278.0,262.0,262.0,262.0,8000
2021-03-26,246.0,288.0,246.0,268.0,268.0,14300
2021-03-29,258.0,324.0,258.0,266.0,266.0,55000
2021-03-30,296.0,300.0,252.0,270.0,270.0,5600
2021-03-31,270.0,314.0,260.0,270.0,270.0,51100
2021-04-01,262.0,300.0,258.0,274.0,274.0,12800
2021-04-05,280.0,292.0,274.0,290.0,290.0,4700
2021-04-06,290.0,300.0,276.0,276.0,276.0,8100
2021-04-07,300.0,316.0,272.0,282.0,282.0,2600
2021-04-08,282.0,312.0,266.0,294.0,294.0,7700
2021-04-09,294.0,308.0,280.0,286.0,286.0,3200
2021-04-12,294.0,316.0,268.0,268.0,268.0,11300
2021-04-14,268.0,270.0,252.0,258.0,258.0,22300
