Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,167.0,170.0,160.0,166.0,166.0,8245100
2021-03-02,166.0,167.0,159.0,162.0,162.0,14236400
2021-03-03,162.0,163.0,157.0,158.0,158.0,11804500
2021-03-04,158.0,159.0,150.0,152.0,152.0,9423500
2021-03-05,150.0,163.0,147.0,161.0,161.0,27829300
2021-03-08,162.0,163.0,150.0,152.0,152.0,14049500
2021-03-09,152.0,152.0,143.0,145.0,145.0,6417700
2021-03-10,144.0,145.0,135.0,139.0,139.0,13754600
2021-03-12,150.0,152.0,135.0,140.0,140.0,23881900
2021-03-15,140.0,143.0,140.0,140.0,140.0,4216900
2021-03-16,140.0,148.0,139.0,139.0,139.0,18301600
2021-03-17,139.0,146.0,136.0,145.0,145.0,17604800
2021-03-18,145.0,145.0,138.0,139.0,139.0,9001400
2021-03-19,140.0,140.0,136.0,136.0,136.0,4851200
2021-03-22,135.0,136.0,130.0,132.0,132.0,8975900
2021-03-23,133.0,133.0,127.0,127.0,127.0,6841500
2021-03-24,125.0,127.0,120.0,122.0,122.0,6994800
2021-03-25,120.0,130.0,116.0,120.0,120.0,13552300
2021-03-26,120.0,124.0,119.0,124.0,124.0,5942400
2021-03-29,131.0,137.0,122.0,122.0,122.0,21555500
2021-03-30,122.0,126.0,114.0,115.0,115.0,9520100
2021-03-31,116.0,117.0,107.0,107.0,107.0,5956500
2021-04-01,108.0,112.0,106.0,110.0,110.0,6660800
2021-04-05,115.0,119.0,104.0,106.0,106.0,12531400
2021-04-06,106.0,110.0,104.0,110.0,110.0,7278300
2021-04-07,112.0,115.0,108.0,109.0,109.0,8738000
2021-04-08,110.0,141.0,110.0,128.0,128.0,64718500
2021-04-09,130.0,136.0,126.0,127.0,127.0,25921700
2021-04-12,129.0,132.0,121.0,123.0,123.0,9755000
2021-04-14,116.0,122.0,116.0,118.0,118.0,5132400
