Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,424.0,424.0,424.0,424.0,424.0,400
2021-03-02,424.0,424.0,424.0,424.0,424.0,1800
2021-03-03,424.0,424.0,424.0,424.0,424.0,0
2021-03-04,424.0,424.0,424.0,424.0,424.0,0
2021-03-05,424.0,424.0,424.0,424.0,424.0,0
2021-03-08,400.0,400.0,396.0,396.0,396.0,1500
2021-03-09,370.0,370.0,370.0,370.0,370.0,400
2021-03-10,368.0,368.0,354.0,368.0,368.0,33600
2021-03-12,344.0,366.0,344.0,366.0,366.0,8800
2021-03-15,366.0,382.0,342.0,366.0,366.0,5400
2021-03-16,366.0,366.0,366.0,366.0,366.0,1000
2021-03-17,368.0,368.0,368.0,368.0,368.0,13000
2021-03-18,370.0,370.0,370.0,370.0,370.0,17200
2021-03-19,370.0,370.0,350.0,370.0,370.0,400
2021-03-22,370.0,370.0,350.0,370.0,370.0,4200
2021-03-23,370.0,370.0,370.0,370.0,370.0,4700
2021-03-24,370.0,370.0,370.0,370.0,370.0,0
2021-03-25,370.0,370.0,370.0,370.0,370.0,200
2021-03-26,370.0,370.0,370.0,370.0,370.0,0
2021-03-29,390.0,390.0,390.0,390.0,390.0,200
2021-03-30,390.0,390.0,390.0,390.0,390.0,200
2021-03-31,388.0,388.0,380.0,380.0,380.0,200
2021-04-01,380.0,380.0,354.0,354.0,354.0,400
2021-04-05,350.0,352.0,350.0,350.0,350.0,500
2021-04-06,352.0,390.0,352.0,386.0,386.0,13700
2021-04-07,386.0,386.0,386.0,386.0,386.0,600
2021-04-08,386.0,386.0,380.0,380.0,380.0,400
2021-04-09,380.0,380.0,358.0,358.0,358.0,300
2021-04-12,358.0,358.0,358.0,358.0,358.0,300
