Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,550.0,595.0,550.0,585.0,585.0,215113700
2021-03-02,595.0,600.0,575.0,580.0,580.0,82192800
2021-03-03,585.0,595.0,580.0,590.0,590.0,63866600
2021-03-04,595.0,595.0,570.0,580.0,580.0,25351200
2021-03-05,570.0,580.0,560.0,565.0,565.0,38363400
2021-03-08,570.0,580.0,545.0,560.0,560.0,37912600
2021-03-09,570.0,570.0,555.0,565.0,565.0,30947300
2021-03-10,565.0,585.0,560.0,585.0,585.0,79928900
2021-03-12,590.0,615.0,585.0,600.0,600.0,109353000
2021-03-15,610.0,615.0,590.0,595.0,595.0,63704800
2021-03-16,595.0,600.0,580.0,590.0,590.0,59656700
2021-03-17,590.0,595.0,565.0,570.0,570.0,56067800
2021-03-18,575.0,585.0,570.0,580.0,580.0,48762400
2021-03-19,580.0,585.0,565.0,565.0,565.0,21979300
2021-03-22,565.0,575.0,555.0,560.0,560.0,37287700
2021-03-23,575.0,575.0,555.0,555.0,555.0,26152000
2021-03-24,550.0,555.0,540.0,545.0,545.0,42013500
2021-03-25,550.0,555.0,525.0,540.0,540.0,45264100
2021-03-26,550.0,570.0,535.0,565.0,565.0,54246300
2021-03-29,570.0,570.0,550.0,550.0,550.0,53222100
2021-03-30,550.0,550.0,540.0,545.0,545.0,29556000
2021-03-31,540.0,550.0,530.0,540.0,540.0,101340000
2021-04-01,540.0,550.0,530.0,540.0,540.0,35030200
2021-04-05,540.0,545.0,530.0,535.0,535.0,18633100
2021-04-06,535.0,550.0,525.0,545.0,545.0,33794500
2021-04-07,540.0,550.0,535.0,545.0,545.0,44532500
2021-04-08,545.0,555.0,535.0,540.0,540.0,39330500
2021-04-09,545.0,545.0,535.0,535.0,535.0,27075800
2021-04-12,540.0,540.0,498.0,498.0,498.0,116431200
2021-04-14,496.0,520.0,496.0,515.0,515.0,54719900
