Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,985.0,1005.0,985.0,995.0,995.0,378700
2021-03-02,995.0,1000.0,985.0,990.0,990.0,408300
2021-03-03,995.0,995.0,960.0,965.0,965.0,1162700
2021-03-04,965.0,965.0,915.0,925.0,925.0,1366400
2021-03-05,935.0,935.0,910.0,920.0,920.0,456700
2021-03-08,910.0,940.0,910.0,910.0,910.0,396500
2021-03-09,910.0,960.0,900.0,915.0,915.0,1483000
2021-03-10,915.0,945.0,915.0,925.0,925.0,404600
2021-03-12,925.0,940.0,915.0,930.0,930.0,584700
2021-03-15,940.0,950.0,925.0,925.0,925.0,301400
2021-03-16,925.0,930.0,905.0,910.0,910.0,394300
2021-03-17,910.0,925.0,910.0,915.0,915.0,182500
2021-03-18,915.0,920.0,905.0,915.0,915.0,337100
2021-03-19,915.0,920.0,905.0,910.0,910.0,351300
2021-03-22,915.0,920.0,910.0,920.0,920.0,542500
2021-03-23,920.0,945.0,910.0,915.0,915.0,856800
2021-03-24,915.0,925.0,905.0,905.0,905.0,501500
2021-03-25,915.0,920.0,905.0,910.0,910.0,696000
2021-03-26,920.0,960.0,910.0,920.0,920.0,902200
2021-03-29,925.0,935.0,915.0,920.0,920.0,457200
2021-03-30,920.0,975.0,920.0,940.0,940.0,1688400
2021-03-31,950.0,955.0,920.0,930.0,930.0,816800
2021-04-01,940.0,1015.0,925.0,1015.0,1015.0,4257700
2021-04-05,1030.0,1060.0,1005.0,1010.0,1010.0,3704400
2021-04-06,1010.0,1035.0,1005.0,1030.0,1030.0,1771100
2021-04-07,1040.0,1100.0,1010.0,1055.0,1055.0,1963400
2021-04-08,1065.0,1090.0,1055.0,1055.0,1055.0,1796400
2021-04-09,1055.0,1080.0,1025.0,1030.0,1030.0,1486300
2021-04-12,1030.0,1035.0,960.0,1010.0,1010.0,1053900
2021-04-14,990.0,1030.0,990.0,1025.0,1025.0,678800
