Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,765.0,780.0,760.0,780.0,780.0,107900
2021-03-02,760.0,900.0,760.0,865.0,865.0,1598000
2021-03-03,865.0,870.0,810.0,815.0,815.0,552300
2021-03-04,815.0,840.0,775.0,810.0,810.0,362000
2021-03-05,775.0,840.0,775.0,840.0,840.0,375300
2021-03-08,840.0,840.0,805.0,805.0,805.0,89900
2021-03-09,805.0,805.0,775.0,800.0,800.0,93600
2021-03-10,800.0,800.0,780.0,785.0,785.0,56100
2021-03-12,785.0,810.0,785.0,795.0,795.0,133500
2021-03-15,800.0,800.0,790.0,795.0,795.0,48800
2021-03-16,800.0,810.0,780.0,795.0,795.0,88100
2021-03-17,795.0,805.0,795.0,805.0,805.0,71800
2021-03-18,795.0,810.0,780.0,800.0,800.0,337400
2021-03-19,800.0,800.0,770.0,800.0,800.0,60000
2021-03-22,805.0,805.0,780.0,800.0,800.0,18400
2021-03-23,795.0,805.0,780.0,800.0,800.0,174100
2021-03-24,800.0,805.0,775.0,795.0,795.0,106800
2021-03-25,790.0,810.0,760.0,805.0,805.0,341900
2021-03-26,785.0,800.0,780.0,785.0,785.0,13700
2021-03-29,785.0,800.0,785.0,795.0,795.0,58800
2021-03-30,770.0,800.0,770.0,795.0,795.0,116100
2021-03-31,795.0,850.0,755.0,800.0,800.0,223900
2021-04-01,800.0,800.0,775.0,795.0,795.0,92200
2021-04-05,795.0,805.0,780.0,795.0,795.0,77600
2021-04-06,795.0,810.0,780.0,790.0,790.0,252400
2021-04-07,800.0,825.0,785.0,805.0,805.0,2025000
2021-04-08,805.0,860.0,800.0,810.0,810.0,817700
2021-04-09,810.0,810.0,795.0,805.0,805.0,146700
2021-04-12,810.0,815.0,765.0,770.0,770.0,267200
2021-04-14,750.0,775.0,725.0,740.0,740.0,832700
