Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,208.0,210.0,202.0,206.0,206.0,19300700
2021-03-02,206.0,212.0,204.0,206.0,206.0,19807800
2021-03-03,206.0,210.0,200.0,202.0,202.0,7428900
2021-03-04,200.0,204.0,192.0,197.0,197.0,11749000
2021-03-05,200.0,206.0,195.0,195.0,195.0,14629900
2021-03-08,200.0,220.0,199.0,208.0,208.0,58028500
2021-03-09,208.0,210.0,196.0,198.0,198.0,16531400
2021-03-10,198.0,200.0,197.0,198.0,198.0,4198400
2021-03-12,199.0,204.0,198.0,200.0,200.0,8255200
2021-03-15,198.0,244.0,198.0,226.0,226.0,500718200
2021-03-16,228.0,230.0,214.0,216.0,216.0,118334400
2021-03-17,218.0,234.0,210.0,220.0,220.0,177449400
2021-03-18,222.0,238.0,218.0,220.0,220.0,127531100
2021-03-19,230.0,246.0,222.0,232.0,232.0,251445000
2021-03-22,234.0,254.0,234.0,240.0,240.0,199158600
2021-03-23,244.0,250.0,226.0,230.0,230.0,101023500
2021-03-24,228.0,232.0,218.0,220.0,220.0,41272000
2021-03-25,220.0,234.0,218.0,226.0,226.0,57549900
2021-03-26,230.0,236.0,220.0,222.0,222.0,33832000
2021-03-29,230.0,244.0,222.0,238.0,238.0,151350900
2021-03-30,238.0,246.0,222.0,228.0,228.0,81611700
2021-03-31,228.0,234.0,220.0,226.0,226.0,34801900
2021-04-01,226.0,232.0,222.0,228.0,228.0,17667600
2021-04-05,230.0,236.0,224.0,228.0,228.0,35508900
2021-04-06,228.0,244.0,224.0,240.0,240.0,77613600
2021-04-07,242.0,274.0,240.0,260.0,260.0,250263600
2021-04-08,260.0,264.0,252.0,254.0,254.0,54708100
2021-04-09,254.0,264.0,252.0,254.0,254.0,77323300
2021-04-12,254.0,258.0,238.0,238.0,238.0,73852400
2021-04-14,232.0,246.0,232.0,246.0,246.0,63218600
