Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,730.0,760.0,725.0,755.0,755.0,18432500
2021-03-02,765.0,780.0,740.0,745.0,745.0,37619000
2021-03-03,745.0,750.0,730.0,735.0,735.0,8321800
2021-03-04,735.0,735.0,720.0,730.0,730.0,9142700
2021-03-05,735.0,775.0,710.0,760.0,760.0,52909400
2021-03-08,770.0,820.0,765.0,810.0,810.0,72656800
2021-03-09,810.0,830.0,785.0,800.0,800.0,52088200
2021-03-10,800.0,810.0,775.0,805.0,805.0,20422600
2021-03-12,805.0,820.0,805.0,805.0,805.0,12883600
2021-03-15,810.0,840.0,805.0,820.0,820.0,26993000
2021-03-16,825.0,830.0,805.0,810.0,810.0,16865000
2021-03-17,805.0,815.0,805.0,815.0,815.0,6779300
2021-03-18,820.0,825.0,805.0,805.0,805.0,6781900
2021-03-19,805.0,810.0,790.0,790.0,790.0,24671600
2021-03-22,795.0,830.0,790.0,825.0,825.0,31703900
2021-03-23,820.0,845.0,805.0,805.0,805.0,22497600
2021-03-24,800.0,815.0,790.0,790.0,790.0,14550800
2021-03-25,790.0,800.0,755.0,785.0,785.0,23578200
2021-03-26,790.0,810.0,785.0,800.0,800.0,14873700
2021-03-29,800.0,825.0,790.0,810.0,810.0,19644100
2021-03-30,815.0,840.0,800.0,805.0,805.0,33516300
2021-03-31,805.0,805.0,750.0,780.0,780.0,47439600
2021-04-01,775.0,790.0,755.0,785.0,785.0,10058500
2021-04-05,790.0,790.0,770.0,775.0,775.0,6816400
2021-04-06,775.0,790.0,775.0,775.0,775.0,8310700
2021-04-07,780.0,820.0,765.0,795.0,795.0,39178200
2021-04-08,800.0,815.0,790.0,795.0,795.0,14225900
2021-04-09,800.0,810.0,780.0,785.0,785.0,12008600
2021-04-12,790.0,795.0,755.0,760.0,760.0,21974100
2021-04-14,720.0,750.0,700.0,735.0,735.0,38873000
