Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,474.0,478.0,464.0,470.0,470.0,1339100
2021-03-02,470.0,490.0,470.0,478.0,478.0,498000
2021-03-03,484.0,488.0,470.0,470.0,470.0,674000
2021-03-04,468.0,484.0,468.0,480.0,480.0,158200
2021-03-05,480.0,480.0,464.0,476.0,476.0,340600
2021-03-08,476.0,488.0,468.0,474.0,474.0,364000
2021-03-09,476.0,484.0,472.0,480.0,480.0,309100
2021-03-10,484.0,484.0,474.0,478.0,478.0,193700
2021-03-12,478.0,486.0,474.0,480.0,480.0,644000
2021-03-15,480.0,575.0,480.0,550.0,550.0,10846800
2021-03-16,560.0,565.0,520.0,530.0,530.0,1297300
2021-03-17,530.0,555.0,525.0,550.0,550.0,1953800
2021-03-18,555.0,565.0,540.0,540.0,540.0,868600
2021-03-19,550.0,575.0,540.0,555.0,555.0,1618900
2021-03-22,555.0,575.0,555.0,560.0,560.0,1454600
2021-03-23,560.0,575.0,550.0,560.0,560.0,449600
2021-03-24,560.0,570.0,535.0,540.0,540.0,586500
2021-03-25,540.0,545.0,520.0,520.0,520.0,769200
2021-03-26,520.0,550.0,515.0,535.0,535.0,1043000
2021-03-29,545.0,550.0,530.0,535.0,535.0,479300
2021-03-30,540.0,560.0,505.0,545.0,545.0,1070300
2021-03-31,545.0,545.0,510.0,510.0,510.0,1314300
2021-04-01,500.0,515.0,476.0,476.0,476.0,4731200
2021-04-05,484.0,484.0,444.0,468.0,468.0,2245800
2021-04-06,468.0,480.0,468.0,476.0,476.0,1278600
2021-04-07,480.0,490.0,476.0,482.0,482.0,1661400
2021-04-08,482.0,488.0,480.0,488.0,488.0,378000
2021-04-09,492.0,492.0,482.0,484.0,484.0,457200
2021-04-12,484.0,486.0,474.0,474.0,474.0,1605000
2021-04-14,468.0,480.0,468.0,478.0,478.0,224800
