Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,193100
2021-03-02,50.0,50.0,50.0,50.0,50.0,136700
2021-03-03,50.0,50.0,50.0,50.0,50.0,16300
2021-03-04,50.0,50.0,50.0,50.0,50.0,93700
2021-03-05,50.0,50.0,50.0,50.0,50.0,6223300
2021-03-08,50.0,50.0,50.0,50.0,50.0,2690300
2021-03-09,50.0,50.0,50.0,50.0,50.0,1554000
2021-03-10,50.0,50.0,50.0,50.0,50.0,8098800
2021-03-12,50.0,50.0,50.0,50.0,50.0,130000
2021-03-15,50.0,50.0,50.0,50.0,50.0,5350500
2021-03-16,50.0,50.0,50.0,50.0,50.0,9202100
2021-03-17,50.0,50.0,50.0,50.0,50.0,8136100
2021-03-18,50.0,50.0,50.0,50.0,50.0,10877900
2021-03-19,50.0,50.0,50.0,50.0,50.0,314100
2021-03-22,50.0,50.0,50.0,50.0,50.0,11442600
2021-03-23,50.0,50.0,50.0,50.0,50.0,227600
2021-03-24,50.0,50.0,50.0,50.0,50.0,509200
2021-03-25,50.0,50.0,50.0,50.0,50.0,8870400
2021-03-26,50.0,50.0,50.0,50.0,50.0,10500
2021-03-29,50.0,50.0,50.0,50.0,50.0,1703800
2021-03-30,50.0,50.0,50.0,50.0,50.0,500
2021-03-31,50.0,50.0,50.0,50.0,50.0,600
2021-04-01,50.0,50.0,50.0,50.0,50.0,800
2021-04-05,50.0,50.0,50.0,50.0,50.0,25300
2021-04-06,50.0,50.0,50.0,50.0,50.0,15400
2021-04-07,50.0,50.0,50.0,50.0,50.0,201800
2021-04-08,50.0,50.0,50.0,50.0,50.0,74400
2021-04-09,50.0,50.0,50.0,50.0,50.0,4400
2021-04-12,50.0,50.0,50.0,50.0,50.0,4600
2021-04-14,50.0,50.0,50.0,50.0,50.0,68300
