Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,238.0,246.0,238.0,242.0,242.0,86800
2021-03-02,244.0,260.0,242.0,252.0,252.0,580200
2021-03-03,252.0,254.0,244.0,244.0,244.0,381400
2021-03-04,244.0,252.0,242.0,242.0,242.0,155700
2021-03-05,238.0,246.0,226.0,236.0,236.0,417600
2021-03-08,236.0,236.0,226.0,234.0,234.0,362700
2021-03-09,234.0,236.0,220.0,228.0,228.0,506700
2021-03-10,228.0,234.0,228.0,230.0,230.0,139700
2021-03-12,230.0,234.0,228.0,230.0,230.0,106100
2021-03-15,238.0,238.0,230.0,230.0,230.0,314900
2021-03-16,234.0,242.0,228.0,236.0,236.0,168800
2021-03-17,238.0,238.0,228.0,228.0,228.0,197600
2021-03-18,230.0,232.0,228.0,230.0,230.0,205800
2021-03-19,228.0,242.0,228.0,232.0,232.0,232000
2021-03-22,230.0,236.0,230.0,234.0,234.0,313500
2021-03-23,238.0,256.0,234.0,238.0,238.0,862800
2021-03-24,238.0,238.0,232.0,234.0,234.0,201700
2021-03-25,234.0,240.0,222.0,232.0,232.0,278800
2021-03-26,224.0,244.0,224.0,234.0,234.0,225700
2021-03-29,234.0,240.0,232.0,238.0,238.0,109100
2021-03-30,236.0,236.0,230.0,230.0,230.0,39200
2021-03-31,230.0,232.0,226.0,226.0,226.0,58600
2021-04-01,226.0,232.0,226.0,230.0,230.0,111200
2021-04-05,230.0,232.0,228.0,228.0,228.0,12400
2021-04-06,226.0,232.0,224.0,226.0,226.0,36700
2021-04-07,226.0,232.0,224.0,230.0,230.0,197700
2021-04-08,230.0,234.0,228.0,230.0,230.0,37100
2021-04-09,228.0,230.0,224.0,224.0,224.0,561400
2021-04-12,224.0,226.0,222.0,226.0,226.0,144200
2021-04-14,226.0,230.0,220.0,224.0,224.0,68400
