Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,730.0,745.0,730.0,745.0,745.0,1900
2021-03-02,695.0,755.0,695.0,750.0,750.0,3200
2021-03-03,745.0,745.0,700.0,745.0,745.0,2000
2021-03-04,745.0,760.0,695.0,750.0,750.0,3400
2021-03-05,745.0,745.0,700.0,745.0,745.0,3200
2021-03-08,740.0,780.0,740.0,780.0,780.0,2200
2021-03-09,780.0,780.0,780.0,780.0,780.0,0
2021-03-10,770.0,780.0,730.0,735.0,735.0,2900
2021-03-12,785.0,785.0,735.0,770.0,770.0,4400
2021-03-15,765.0,765.0,765.0,765.0,765.0,100
2021-03-16,775.0,775.0,770.0,770.0,770.0,200
2021-03-17,720.0,735.0,720.0,720.0,720.0,7200
2021-03-18,695.0,730.0,670.0,670.0,670.0,11300
2021-03-19,680.0,690.0,670.0,670.0,670.0,6100
2021-03-22,675.0,675.0,670.0,670.0,670.0,2400
2021-03-23,680.0,745.0,680.0,685.0,685.0,3800
2021-03-24,685.0,700.0,670.0,670.0,670.0,9200
2021-03-25,675.0,710.0,670.0,670.0,670.0,8700
2021-03-26,670.0,670.0,670.0,670.0,670.0,35000
2021-03-29,670.0,700.0,665.0,695.0,695.0,14200
2021-03-30,695.0,695.0,690.0,690.0,690.0,2000
2021-03-31,670.0,670.0,645.0,645.0,645.0,6800
2021-04-01,645.0,670.0,645.0,670.0,670.0,900
2021-04-05,665.0,665.0,665.0,665.0,665.0,600
2021-04-06,665.0,830.0,660.0,750.0,750.0,27400
2021-04-07,700.0,710.0,700.0,700.0,700.0,14900
2021-04-08,700.0,700.0,655.0,695.0,695.0,2100
2021-04-09,660.0,660.0,650.0,650.0,650.0,2700
2021-04-12,650.0,680.0,620.0,675.0,675.0,6400
2021-04-14,635.0,670.0,635.0,670.0,670.0,300
