Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,53.0,54.0,53.0,54.0,54.0,220000
2021-03-02,54.0,54.0,53.0,53.0,53.0,69500
2021-03-03,53.0,54.0,52.0,53.0,53.0,52500
2021-03-04,53.0,53.0,53.0,53.0,53.0,210400
2021-03-05,53.0,54.0,51.0,53.0,53.0,1744700
2021-03-08,53.0,56.0,53.0,53.0,53.0,288900
2021-03-09,54.0,54.0,52.0,52.0,52.0,66500
2021-03-10,54.0,54.0,51.0,53.0,53.0,93600
2021-03-12,52.0,54.0,50.0,54.0,54.0,1661600
2021-03-15,52.0,53.0,51.0,52.0,52.0,27100
2021-03-16,53.0,53.0,52.0,53.0,53.0,268700
2021-03-17,52.0,54.0,52.0,54.0,54.0,1009300
2021-03-18,54.0,54.0,53.0,54.0,54.0,312200
2021-03-19,54.0,55.0,53.0,54.0,54.0,1010300
2021-03-22,54.0,58.0,54.0,58.0,58.0,2219200
2021-03-23,59.0,59.0,54.0,54.0,54.0,1832800
2021-03-24,54.0,58.0,53.0,57.0,57.0,2875700
2021-03-25,57.0,57.0,54.0,54.0,54.0,678000
2021-03-26,55.0,56.0,54.0,56.0,56.0,491000
2021-03-29,56.0,63.0,53.0,58.0,58.0,14846000
2021-03-30,59.0,60.0,54.0,54.0,54.0,12948700
2021-03-31,54.0,56.0,52.0,53.0,53.0,3843200
2021-04-01,54.0,54.0,52.0,54.0,54.0,955700
2021-04-05,53.0,55.0,52.0,54.0,54.0,1166700
2021-04-06,55.0,57.0,53.0,55.0,55.0,1173400
2021-04-07,56.0,74.0,55.0,74.0,74.0,86178800
2021-04-08,79.0,99.0,79.0,99.0,99.0,67822700
2021-04-09,100.0,110.0,93.0,93.0,93.0,11191100
2021-04-12,87.0,87.0,87.0,87.0,87.0,1665000
2021-04-14,76.0,90.0,76.0,82.0,82.0,77458000
