Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,157.0,166.0,152.0,153.0,153.0,27400
2021-03-02,153.0,154.0,153.0,154.0,154.0,3100
2021-03-03,150.0,164.0,150.0,153.0,153.0,600
2021-03-04,154.0,158.0,153.0,158.0,158.0,4500
2021-03-05,152.0,157.0,151.0,157.0,157.0,12000
2021-03-08,152.0,157.0,152.0,157.0,157.0,800
2021-03-09,151.0,157.0,151.0,157.0,157.0,1300
2021-03-10,152.0,157.0,152.0,157.0,157.0,2800
2021-03-12,157.0,157.0,157.0,157.0,157.0,0
2021-03-15,149.0,163.0,147.0,161.0,161.0,8500
2021-03-16,160.0,160.0,151.0,152.0,152.0,18200
2021-03-17,150.0,160.0,150.0,160.0,160.0,9800
2021-03-18,150.0,160.0,150.0,158.0,158.0,10700
2021-03-19,158.0,158.0,151.0,158.0,158.0,16000
2021-03-22,150.0,159.0,147.0,159.0,159.0,12800
2021-03-23,159.0,159.0,151.0,151.0,151.0,3800
2021-03-24,157.0,157.0,148.0,148.0,148.0,24700
2021-03-25,149.0,149.0,148.0,148.0,148.0,5500
2021-03-26,148.0,158.0,141.0,157.0,157.0,2400
2021-03-29,157.0,157.0,150.0,150.0,150.0,2900
2021-03-30,154.0,165.0,150.0,163.0,163.0,12900
2021-03-31,153.0,160.0,152.0,152.0,152.0,3400
2021-04-01,162.0,162.0,150.0,150.0,150.0,2900
2021-04-05,150.0,162.0,149.0,149.0,149.0,700
2021-04-06,148.0,172.0,148.0,172.0,172.0,2800
2021-04-07,182.0,182.0,160.0,160.0,160.0,6900
2021-04-08,160.0,160.0,151.0,157.0,157.0,10200
2021-04-09,150.0,154.0,150.0,152.0,152.0,3200
2021-04-12,153.0,160.0,150.0,150.0,150.0,11400
2021-04-14,156.0,156.0,156.0,156.0,156.0,100
