Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1180.0,1250.0,1150.0,1160.0,1160.0,334200
2021-03-02,1110.0,1230.0,1100.0,1100.0,1100.0,385500
2021-03-03,1100.0,1300.0,1030.0,1055.0,1055.0,128200
2021-03-04,1040.0,1200.0,985.0,985.0,985.0,679200
2021-03-05,985.0,1000.0,950.0,955.0,955.0,59100
2021-03-08,965.0,1050.0,925.0,925.0,925.0,234000
2021-03-09,940.0,970.0,875.0,890.0,890.0,185200
2021-03-10,890.0,890.0,890.0,890.0,890.0,0
2021-03-12,895.0,1010.0,890.0,930.0,930.0,162000
2021-03-15,960.0,1160.0,960.0,1040.0,1040.0,344200
2021-03-16,1040.0,1040.0,975.0,995.0,995.0,110500
2021-03-17,1025.0,1030.0,940.0,960.0,960.0,324700
2021-03-18,980.0,1010.0,900.0,920.0,920.0,271700
2021-03-19,905.0,935.0,865.0,865.0,865.0,251000
2021-03-22,865.0,900.0,805.0,820.0,820.0,373500
2021-03-23,820.0,890.0,770.0,800.0,800.0,307200
2021-03-24,835.0,835.0,765.0,770.0,770.0,209200
2021-03-25,795.0,810.0,750.0,760.0,760.0,159600
2021-03-26,760.0,870.0,750.0,860.0,860.0,35500
2021-03-29,870.0,1050.0,800.0,840.0,840.0,759800
2021-03-30,855.0,900.0,815.0,815.0,815.0,318300
2021-03-31,815.0,860.0,780.0,810.0,810.0,144900
2021-04-01,790.0,860.0,780.0,785.0,785.0,194400
2021-04-05,790.0,840.0,760.0,785.0,785.0,103800
2021-04-06,785.0,870.0,770.0,855.0,855.0,345400
2021-04-07,860.0,865.0,800.0,810.0,810.0,860300
2021-04-08,810.0,865.0,800.0,810.0,810.0,200800
2021-04-09,830.0,1000.0,810.0,810.0,810.0,910000
2021-04-12,820.0,870.0,810.0,810.0,810.0,508500
2021-04-14,835.0,870.0,810.0,825.0,825.0,345800
