Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,2010.0,2020.0,1940.0,1960.0,1960.0,5283800
2021-03-02,1980.0,1995.0,1900.0,1910.0,1910.0,6299600
2021-03-03,1915.0,1930.0,1880.0,1905.0,1905.0,4185100
2021-03-04,1880.0,1920.0,1850.0,1855.0,1855.0,5958900
2021-03-05,1840.0,1855.0,1800.0,1805.0,1805.0,11353800
2021-03-08,1815.0,1830.0,1770.0,1785.0,1785.0,3354600
2021-03-09,1790.0,1795.0,1715.0,1760.0,1760.0,16195000
2021-03-10,1765.0,1815.0,1765.0,1770.0,1770.0,7323500
2021-03-12,1800.0,1810.0,1735.0,1745.0,1745.0,8245300
2021-03-15,1760.0,1780.0,1740.0,1750.0,1750.0,6277800
2021-03-16,1760.0,1880.0,1760.0,1880.0,1880.0,13173700
2021-03-17,1880.0,1895.0,1830.0,1865.0,1865.0,10833500
2021-03-18,1865.0,1885.0,1790.0,1825.0,1825.0,7052600
2021-03-19,1820.0,1845.0,1750.0,1750.0,1750.0,9339100
2021-03-22,1750.0,1815.0,1750.0,1790.0,1790.0,9968500
2021-03-23,1790.0,1795.0,1760.0,1785.0,1785.0,3509400
2021-03-24,1795.0,1795.0,1695.0,1710.0,1710.0,7177300
2021-03-25,1675.0,1745.0,1620.0,1650.0,1650.0,11599900
2021-03-26,1695.0,1730.0,1650.0,1725.0,1725.0,8846400
2021-03-29,1740.0,1825.0,1725.0,1800.0,1800.0,10786600
2021-03-30,1800.0,1810.0,1700.0,1740.0,1740.0,4377200
2021-03-31,1740.0,1750.0,1665.0,1700.0,1700.0,11352500
2021-04-01,1700.0,1725.0,1630.0,1700.0,1700.0,10382600
2021-04-05,1710.0,1725.0,1685.0,1725.0,1725.0,6976400
2021-04-06,1725.0,1740.0,1660.0,1720.0,1720.0,7153000
2021-04-07,1720.0,1790.0,1700.0,1790.0,1790.0,11824600
2021-04-08,1800.0,1805.0,1750.0,1785.0,1785.0,8024900
2021-04-09,1790.0,1790.0,1710.0,1735.0,1735.0,9033200
2021-04-12,1740.0,1750.0,1620.0,1625.0,1625.0,15916800
2021-04-14,1625.0,1675.0,1610.0,1670.0,1670.0,6890600
