Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,218.0,226.0,218.0,222.0,222.0,156500
2021-03-02,222.0,224.0,222.0,224.0,224.0,81200
2021-03-03,222.0,226.0,222.0,224.0,224.0,27600
2021-03-04,224.0,228.0,222.0,228.0,228.0,27500
2021-03-05,222.0,250.0,220.0,230.0,230.0,409300
2021-03-08,230.0,250.0,226.0,250.0,250.0,13300
2021-03-09,250.0,262.0,234.0,242.0,242.0,33500
2021-03-10,250.0,254.0,250.0,254.0,254.0,76700
2021-03-12,254.0,294.0,254.0,290.0,290.0,486200
2021-03-15,270.0,286.0,270.0,270.0,270.0,114400
2021-03-16,264.0,268.0,252.0,258.0,258.0,361300
2021-03-17,248.0,266.0,248.0,260.0,260.0,251000
2021-03-18,260.0,276.0,246.0,270.0,270.0,98400
2021-03-19,270.0,270.0,252.0,252.0,252.0,160400
2021-03-22,252.0,256.0,250.0,256.0,256.0,61700
2021-03-23,252.0,256.0,250.0,256.0,256.0,131700
2021-03-24,254.0,254.0,250.0,250.0,250.0,6100
2021-03-25,234.0,256.0,234.0,236.0,236.0,31900
2021-03-26,240.0,260.0,240.0,254.0,254.0,19100
2021-03-29,238.0,288.0,238.0,252.0,252.0,35600
2021-03-30,252.0,252.0,240.0,252.0,252.0,26700
2021-03-31,252.0,280.0,252.0,262.0,262.0,5700
2021-04-01,262.0,262.0,250.0,260.0,260.0,4200
2021-04-05,260.0,270.0,260.0,270.0,270.0,78200
2021-04-06,270.0,280.0,254.0,278.0,278.0,28200
2021-04-07,278.0,278.0,260.0,262.0,262.0,70300
2021-04-08,262.0,262.0,254.0,256.0,256.0,77300
2021-04-09,254.0,254.0,254.0,254.0,254.0,55900
2021-04-12,252.0,252.0,250.0,250.0,250.0,140600
2021-04-14,250.0,256.0,250.0,250.0,250.0,57600
