Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,448.0,448.0,418.0,418.0,418.0,8769500
2021-03-02,418.0,418.0,390.0,394.0,394.0,2182900
2021-03-03,394.0,408.0,392.0,400.0,400.0,3523500
2021-03-04,400.0,400.0,392.0,392.0,392.0,1109700
2021-03-05,390.0,400.0,384.0,386.0,386.0,2627800
2021-03-08,386.0,392.0,384.0,386.0,386.0,1176100
2021-03-09,388.0,394.0,372.0,374.0,374.0,2511500
2021-03-10,374.0,386.0,374.0,376.0,376.0,1419600
2021-03-12,374.0,386.0,374.0,380.0,380.0,1595500
2021-03-15,380.0,386.0,354.0,358.0,358.0,3722500
2021-03-16,358.0,358.0,342.0,342.0,342.0,1918200
2021-03-17,346.0,362.0,344.0,344.0,344.0,4931900
2021-03-18,344.0,354.0,344.0,346.0,346.0,1409500
2021-03-19,346.0,350.0,326.0,326.0,326.0,3684600
2021-03-22,326.0,332.0,326.0,330.0,330.0,1231600
2021-03-23,330.0,334.0,324.0,326.0,326.0,1666400
2021-03-24,324.0,324.0,310.0,310.0,310.0,1782000
2021-03-25,312.0,318.0,312.0,312.0,312.0,1455100
2021-03-26,312.0,316.0,312.0,314.0,314.0,1164000
2021-03-29,316.0,320.0,312.0,312.0,312.0,1069700
2021-03-30,310.0,314.0,300.0,302.0,302.0,1476700
2021-03-31,302.0,302.0,290.0,290.0,290.0,1229300
2021-04-01,288.0,294.0,288.0,294.0,294.0,1094900
2021-04-05,294.0,300.0,288.0,290.0,290.0,1296500
2021-04-06,290.0,294.0,290.0,292.0,292.0,1091900
2021-04-07,292.0,294.0,290.0,292.0,292.0,857000
2021-04-08,292.0,294.0,288.0,294.0,294.0,889800
2021-04-09,294.0,302.0,294.0,300.0,300.0,778900
2021-04-12,302.0,306.0,296.0,296.0,296.0,1315700
2021-04-14,286.0,286.0,276.0,280.0,280.0,1589000
