Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,635.0,650.0,635.0,650.0,650.0,1029100
2021-03-02,650.0,660.0,650.0,650.0,650.0,979300
2021-03-03,650.0,655.0,640.0,650.0,650.0,1031200
2021-03-04,650.0,650.0,640.0,650.0,650.0,1061500
2021-03-05,650.0,650.0,635.0,645.0,645.0,1018900
2021-03-08,645.0,650.0,640.0,650.0,650.0,913000
2021-03-09,650.0,655.0,640.0,645.0,645.0,765200
2021-03-10,645.0,650.0,640.0,645.0,645.0,904900
2021-03-12,645.0,645.0,635.0,645.0,645.0,795400
2021-03-15,650.0,655.0,645.0,655.0,655.0,1299900
2021-03-16,655.0,660.0,640.0,655.0,655.0,921700
2021-03-17,655.0,655.0,645.0,650.0,650.0,812600
2021-03-18,640.0,655.0,640.0,650.0,650.0,1066500
2021-03-19,650.0,655.0,640.0,650.0,650.0,1061800
2021-03-22,650.0,650.0,640.0,650.0,650.0,1010800
2021-03-23,650.0,660.0,645.0,650.0,650.0,940500
2021-03-24,650.0,650.0,635.0,645.0,645.0,1036300
2021-03-25,640.0,645.0,635.0,635.0,635.0,797500
2021-03-26,635.0,655.0,635.0,645.0,645.0,1214400
2021-03-29,645.0,660.0,640.0,655.0,655.0,1298000
2021-03-30,655.0,655.0,640.0,655.0,655.0,1305000
2021-03-31,655.0,655.0,640.0,650.0,650.0,1118200
2021-04-01,650.0,655.0,640.0,650.0,650.0,1283000
2021-04-05,650.0,655.0,640.0,650.0,650.0,1201800
2021-04-06,650.0,655.0,640.0,650.0,650.0,1110800
2021-04-07,650.0,655.0,640.0,645.0,645.0,1030400
2021-04-08,645.0,650.0,640.0,645.0,645.0,1195100
2021-04-09,640.0,650.0,640.0,650.0,650.0,1167900
2021-04-12,650.0,650.0,635.0,645.0,645.0,1300700
2021-04-14,650.0,650.0,640.0,645.0,645.0,979300
