Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,5350.0,5475.0,5350.0,5425.0,5425.0,117400
2021-03-02,5425.0,5500.0,5400.0,5450.0,5450.0,197700
2021-03-03,5500.0,5750.0,5350.0,5550.0,5550.0,560000
2021-03-04,5650.0,5650.0,5400.0,5400.0,5400.0,65300
2021-03-05,5300.0,5500.0,5250.0,5500.0,5500.0,491300
2021-03-08,5500.0,5500.0,5300.0,5375.0,5375.0,203900
2021-03-09,5375.0,5500.0,5375.0,5500.0,5500.0,161900
2021-03-10,5500.0,5500.0,5400.0,5450.0,5450.0,494500
2021-03-12,5450.0,5450.0,5300.0,5325.0,5325.0,141200
2021-03-15,5375.0,5400.0,5350.0,5400.0,5400.0,20400
2021-03-16,5400.0,5450.0,5300.0,5400.0,5400.0,356200
2021-03-17,5400.0,5400.0,5350.0,5400.0,5400.0,120000
2021-03-18,5375.0,5400.0,5150.0,5150.0,5150.0,1187600
2021-03-19,5175.0,5250.0,4850.0,4850.0,4850.0,8302200
2021-03-22,4870.0,4920.0,4710.0,4910.0,4910.0,2309800
2021-03-23,4910.0,4950.0,4720.0,4770.0,4770.0,2325700
2021-03-24,4770.0,4780.0,4600.0,4600.0,4600.0,579300
2021-03-25,4610.0,4760.0,4520.0,4750.0,4750.0,349500
2021-03-26,4750.0,4810.0,4700.0,4800.0,4800.0,237400
2021-03-29,4800.0,4900.0,4710.0,4890.0,4890.0,468800
2021-03-30,4890.0,4920.0,4740.0,4800.0,4800.0,590700
2021-03-31,4810.0,4950.0,4810.0,4860.0,4860.0,1026000
2021-04-01,4990.0,5475.0,4990.0,5450.0,5450.0,1135200
2021-04-05,5525.0,5900.0,5375.0,5400.0,5400.0,3169500
2021-04-06,5500.0,5900.0,5300.0,5450.0,5450.0,2874200
2021-04-07,5450.0,6100.0,5450.0,5800.0,5800.0,2673500
2021-04-08,5825.0,6175.0,5825.0,5950.0,5950.0,1800800
2021-04-09,6100.0,7000.0,6000.0,6825.0,6825.0,1620700
2021-04-12,6850.0,7100.0,6500.0,6900.0,6900.0,1283500
2021-04-14,6875.0,6900.0,6725.0,6750.0,6750.0,388900
