Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,356.0,420.0,314.0,332.0,332.0,167300
2021-03-02,352.0,352.0,318.0,332.0,332.0,3800
2021-03-03,352.0,352.0,328.0,334.0,334.0,2200
2021-03-04,354.0,354.0,326.0,332.0,332.0,1900
2021-03-05,352.0,352.0,330.0,348.0,348.0,22600
2021-03-08,368.0,368.0,360.0,360.0,360.0,4300
2021-03-09,380.0,380.0,360.0,360.0,360.0,200
2021-03-10,360.0,360.0,336.0,344.0,344.0,3800
2021-03-12,364.0,364.0,344.0,348.0,348.0,5700
2021-03-15,368.0,368.0,358.0,358.0,358.0,2800
2021-03-16,378.0,378.0,334.0,342.0,342.0,3500
2021-03-17,362.0,362.0,342.0,342.0,342.0,700
2021-03-18,362.0,362.0,320.0,332.0,332.0,18600
2021-03-19,352.0,352.0,326.0,350.0,350.0,8000
2021-03-22,350.0,350.0,332.0,334.0,334.0,35400
2021-03-23,374.0,374.0,350.0,350.0,350.0,17900
2021-03-24,370.0,370.0,336.0,356.0,356.0,16300
2021-03-25,358.0,358.0,350.0,356.0,356.0,500
2021-03-26,376.0,376.0,356.0,356.0,356.0,200
2021-03-29,376.0,376.0,332.0,356.0,356.0,2500
2021-03-30,360.0,360.0,332.0,356.0,356.0,3700
2021-03-31,376.0,376.0,334.0,350.0,350.0,1200
2021-04-01,370.0,370.0,326.0,364.0,364.0,7100
2021-04-05,384.0,384.0,340.0,340.0,340.0,500
2021-04-06,360.0,360.0,334.0,358.0,358.0,13100
2021-04-07,378.0,378.0,352.0,352.0,352.0,1900
2021-04-08,372.0,372.0,352.0,352.0,352.0,2900
2021-04-09,372.0,372.0,360.0,360.0,360.0,200
2021-04-12,360.0,360.0,360.0,360.0,360.0,0
2021-04-14,360.0,360.0,336.0,336.0,336.0,36200
