Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,324.0,326.0,324.0,326.0,326.0,300
2021-03-02,328.0,328.0,328.0,328.0,328.0,100
2021-03-03,326.0,330.0,326.0,330.0,330.0,2800
2021-03-04,330.0,330.0,330.0,330.0,330.0,600
2021-03-05,330.0,332.0,330.0,332.0,332.0,300
2021-03-08,314.0,314.0,314.0,314.0,314.0,200
2021-03-09,310.0,310.0,310.0,310.0,310.0,100
2021-03-10,310.0,310.0,310.0,310.0,310.0,0
2021-03-12,310.0,312.0,310.0,312.0,312.0,5300
2021-03-15,312.0,370.0,312.0,362.0,362.0,3600
2021-03-16,360.0,360.0,358.0,358.0,358.0,1100
2021-03-17,358.0,358.0,336.0,336.0,336.0,5800
2021-03-18,336.0,336.0,336.0,336.0,336.0,3500
2021-03-19,316.0,316.0,316.0,316.0,316.0,100
2021-03-22,316.0,316.0,316.0,316.0,316.0,0
2021-03-23,316.0,316.0,316.0,316.0,316.0,100
2021-03-24,296.0,380.0,296.0,380.0,380.0,33800
2021-03-25,392.0,436.0,360.0,408.0,408.0,53000
2021-03-26,408.0,408.0,408.0,408.0,408.0,3500
2021-03-29,388.0,388.0,380.0,380.0,380.0,8400
2021-03-30,354.0,354.0,354.0,354.0,354.0,2600
2021-03-31,332.0,332.0,330.0,330.0,330.0,3200
2021-04-01,308.0,410.0,308.0,356.0,356.0,25300
2021-04-05,356.0,356.0,332.0,332.0,332.0,11900
2021-04-06,312.0,414.0,310.0,414.0,414.0,47100
2021-04-07,414.0,414.0,386.0,390.0,390.0,37600
2021-04-08,368.0,368.0,364.0,364.0,364.0,3200
2021-04-09,344.0,454.0,344.0,454.0,454.0,93000
2021-04-12,462.0,464.0,424.0,450.0,450.0,95400
2021-04-14,420.0,420.0,394.0,418.0,418.0,18000
