Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1590.0,1615.0,1590.0,1600.0,1600.0,1800
2021-03-02,1700.0,1995.0,1555.0,1555.0,1555.0,2600
2021-03-03,1560.0,1580.0,1560.0,1580.0,1580.0,200
2021-03-04,1580.0,1580.0,1580.0,1580.0,1580.0,0
2021-03-05,1580.0,1580.0,1580.0,1580.0,1580.0,100
2021-03-08,1580.0,1590.0,1580.0,1590.0,1590.0,300
2021-03-09,1590.0,1985.0,1590.0,1985.0,1985.0,15100
2021-03-10,1985.0,1995.0,1850.0,1855.0,1855.0,10900
2021-03-12,1810.0,1850.0,1740.0,1750.0,1750.0,9500
2021-03-15,1750.0,1750.0,1655.0,1715.0,1715.0,1400
2021-03-16,1715.0,1715.0,1680.0,1700.0,1700.0,800
2021-03-17,1750.0,1750.0,1750.0,1750.0,1750.0,100
2021-03-18,1750.0,1750.0,1665.0,1665.0,1665.0,300
2021-03-19,1750.0,1750.0,1750.0,1750.0,1750.0,1400
2021-03-22,1750.0,1750.0,1750.0,1750.0,1750.0,600
2021-03-23,1980.0,2180.0,1660.0,2000.0,2000.0,21100
2021-03-24,1870.0,2450.0,1860.0,2340.0,2340.0,15000
2021-03-25,2350.0,2350.0,2180.0,2180.0,2180.0,17000
2021-03-26,2080.0,2180.0,2030.0,2030.0,2030.0,2300
2021-03-29,2000.0,2300.0,1905.0,2100.0,2100.0,4700
2021-03-30,2200.0,2300.0,2110.0,2110.0,2110.0,3500
2021-03-31,1965.0,2000.0,1965.0,2000.0,2000.0,200
2021-04-01,2000.0,2010.0,1860.0,1860.0,1860.0,1100
2021-04-05,1860.0,2300.0,1845.0,1935.0,1935.0,17000
2021-04-06,1935.0,2240.0,1935.0,2100.0,2100.0,7200
2021-04-07,2250.0,2250.0,2050.0,2150.0,2150.0,6500
2021-04-08,2150.0,2270.0,2100.0,2170.0,2170.0,3600
2021-04-09,2160.0,2170.0,2160.0,2160.0,2160.0,900
2021-04-12,2160.0,2240.0,2060.0,2090.0,2090.0,6300
2021-04-14,1960.0,2250.0,1960.0,2170.0,2170.0,2800
