Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,700.0,710.0,675.0,700.0,700.0,4090800
2021-03-02,705.0,710.0,690.0,700.0,700.0,3843700
2021-03-03,700.0,710.0,685.0,685.0,685.0,3998800
2021-03-04,685.0,705.0,675.0,675.0,675.0,4412900
2021-03-05,670.0,700.0,655.0,680.0,680.0,3286600
2021-03-08,680.0,700.0,675.0,700.0,700.0,3967200
2021-03-09,705.0,710.0,690.0,690.0,690.0,3805900
2021-03-10,690.0,780.0,690.0,725.0,725.0,4489400
2021-03-12,730.0,795.0,715.0,775.0,775.0,5531900
2021-03-15,785.0,850.0,760.0,790.0,790.0,4215300
2021-03-16,800.0,835.0,770.0,810.0,810.0,4383600
2021-03-17,810.0,840.0,800.0,815.0,815.0,7172500
2021-03-18,815.0,820.0,760.0,760.0,760.0,2978300
2021-03-19,730.0,760.0,720.0,725.0,725.0,2331200
2021-03-22,720.0,760.0,710.0,735.0,735.0,3626500
2021-03-23,740.0,745.0,710.0,740.0,740.0,4030200
2021-03-24,745.0,745.0,705.0,715.0,715.0,5580100
2021-03-25,715.0,780.0,705.0,755.0,755.0,12893500
2021-03-26,760.0,775.0,730.0,765.0,765.0,7069900
2021-03-29,765.0,800.0,765.0,800.0,800.0,7400600
2021-03-30,800.0,840.0,795.0,810.0,810.0,9168400
2021-03-31,810.0,835.0,800.0,810.0,810.0,6105300
2021-04-01,810.0,865.0,805.0,850.0,850.0,10716700
2021-04-05,855.0,870.0,840.0,855.0,855.0,2755600
2021-04-06,865.0,900.0,855.0,890.0,890.0,7449600
2021-04-07,895.0,910.0,860.0,860.0,860.0,6078500
2021-04-08,860.0,870.0,800.0,800.0,800.0,1611800
2021-04-09,790.0,810.0,760.0,795.0,795.0,2827300
2021-04-12,815.0,820.0,770.0,790.0,790.0,6096800
2021-04-14,740.0,795.0,740.0,790.0,790.0,4354000
