Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,4850.0,4880.0,4850.0,4880.0,4880.0,10500
2021-03-02,4890.0,5000.0,4890.0,5000.0,5000.0,13600
2021-03-03,5000.0,5175.0,5000.0,5175.0,5175.0,9100
2021-03-04,5175.0,5175.0,5100.0,5100.0,5100.0,10300
2021-03-05,4980.0,5150.0,4980.0,5150.0,5150.0,11100
2021-03-08,5200.0,5300.0,5200.0,5300.0,5300.0,15100
2021-03-09,5325.0,5350.0,5325.0,5350.0,5350.0,9200
2021-03-10,5300.0,5325.0,5300.0,5325.0,5325.0,6000
2021-03-12,5300.0,5300.0,5250.0,5250.0,5250.0,6500
2021-03-15,5250.0,5300.0,5200.0,5300.0,5300.0,7000
2021-03-16,5300.0,5325.0,5100.0,5100.0,5100.0,6100
2021-03-17,5100.0,5200.0,5100.0,5200.0,5200.0,6900
2021-03-18,5225.0,6225.0,5225.0,6225.0,6225.0,27300
2021-03-19,6475.0,7200.0,6475.0,6900.0,6900.0,13400
2021-03-22,7000.0,7425.0,7000.0,7125.0,7125.0,25300
2021-03-23,7125.0,8000.0,7100.0,7250.0,7250.0,55200
2021-03-24,7600.0,8125.0,7250.0,7250.0,7250.0,36400
2021-03-25,7300.0,7450.0,7125.0,7200.0,7200.0,25400
2021-03-26,7250.0,7525.0,7250.0,7300.0,7300.0,4700
2021-03-29,7350.0,7350.0,7150.0,7150.0,7150.0,15400
2021-03-30,7125.0,7150.0,7000.0,7150.0,7150.0,8300
2021-03-31,7025.0,7200.0,7000.0,7200.0,7200.0,5500
2021-04-01,7400.0,7400.0,7150.0,7150.0,7150.0,3800
2021-04-05,7100.0,7150.0,7100.0,7150.0,7150.0,3400
2021-04-06,7150.0,7250.0,7150.0,7200.0,7200.0,4700
2021-04-07,7100.0,7100.0,7050.0,7050.0,7050.0,5000
2021-04-08,7050.0,7100.0,7050.0,7100.0,7100.0,3900
2021-04-09,7125.0,7300.0,7125.0,7125.0,7125.0,5700
2021-04-12,7100.0,7325.0,7000.0,7000.0,7000.0,12100
2021-04-14,7350.0,7500.0,7100.0,7300.0,7300.0,21600
