Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,288.0,290.0,286.0,288.0,288.0,425400
2021-03-02,288.0,308.0,288.0,300.0,300.0,11727800
2021-03-03,302.0,308.0,298.0,300.0,300.0,4007700
2021-03-04,300.0,302.0,292.0,302.0,302.0,3538700
2021-03-05,302.0,316.0,296.0,310.0,310.0,10227500
2021-03-08,316.0,326.0,310.0,322.0,322.0,15658100
2021-03-09,324.0,326.0,310.0,312.0,312.0,6701000
2021-03-10,312.0,312.0,302.0,304.0,304.0,4469800
2021-03-12,304.0,310.0,298.0,306.0,306.0,4255900
2021-03-15,306.0,322.0,304.0,322.0,322.0,9506400
2021-03-16,324.0,332.0,312.0,312.0,312.0,7290700
2021-03-17,312.0,314.0,304.0,308.0,308.0,1861800
2021-03-18,310.0,312.0,302.0,304.0,304.0,3697500
2021-03-19,306.0,326.0,302.0,314.0,314.0,8552400
2021-03-22,314.0,320.0,312.0,316.0,316.0,1868500
2021-03-23,316.0,320.0,312.0,312.0,312.0,2250500
2021-03-24,312.0,314.0,306.0,310.0,310.0,1284600
2021-03-25,310.0,314.0,304.0,310.0,310.0,2285400
2021-03-26,312.0,312.0,306.0,310.0,310.0,491300
2021-03-29,314.0,316.0,306.0,312.0,312.0,762700
2021-03-30,312.0,312.0,304.0,306.0,306.0,1666100
2021-03-31,306.0,306.0,292.0,296.0,296.0,3466300
2021-04-01,296.0,300.0,282.0,290.0,290.0,4491600
2021-04-05,290.0,296.0,286.0,294.0,294.0,1537300
2021-04-06,294.0,296.0,290.0,292.0,292.0,795900
2021-04-07,292.0,296.0,290.0,294.0,294.0,1023900
2021-04-08,294.0,298.0,292.0,294.0,294.0,458400
2021-04-09,298.0,300.0,294.0,300.0,300.0,1494500
2021-04-12,300.0,300.0,292.0,294.0,294.0,963800
2021-04-14,290.0,296.0,290.0,290.0,290.0,1020900
