Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,97.0,99.0,96.0,97.0,97.0,295600
2021-03-02,100.0,100.0,96.0,98.0,98.0,123700
2021-03-03,98.0,98.0,95.0,98.0,98.0,249700
2021-03-04,100.0,100.0,95.0,98.0,98.0,141100
2021-03-05,97.0,98.0,92.0,98.0,98.0,388200
2021-03-08,98.0,98.0,96.0,98.0,98.0,59300
2021-03-09,98.0,98.0,94.0,96.0,96.0,68200
2021-03-10,98.0,98.0,95.0,95.0,95.0,111200
2021-03-12,95.0,100.0,95.0,99.0,99.0,626100
2021-03-15,100.0,102.0,97.0,99.0,99.0,305500
2021-03-16,99.0,101.0,97.0,99.0,99.0,82000
2021-03-17,99.0,99.0,97.0,99.0,99.0,16900
2021-03-18,99.0,101.0,96.0,97.0,97.0,263600
2021-03-19,97.0,99.0,96.0,98.0,98.0,90400
2021-03-22,100.0,128.0,100.0,117.0,117.0,18383200
2021-03-23,119.0,120.0,109.0,109.0,109.0,2830900
2021-03-24,105.0,105.0,102.0,102.0,102.0,929400
2021-03-25,102.0,102.0,96.0,98.0,98.0,1807400
2021-03-26,98.0,104.0,98.0,101.0,101.0,783700
2021-03-29,101.0,102.0,97.0,99.0,99.0,476300
2021-03-30,101.0,101.0,97.0,99.0,99.0,326000
2021-03-31,100.0,103.0,96.0,97.0,97.0,239100
2021-04-01,98.0,102.0,95.0,100.0,100.0,249500
2021-04-05,100.0,100.0,93.0,95.0,95.0,1472500
2021-04-06,95.0,99.0,95.0,98.0,98.0,255600
2021-04-07,98.0,98.0,95.0,97.0,97.0,285100
2021-04-08,99.0,100.0,97.0,100.0,100.0,358700
2021-04-09,100.0,107.0,97.0,104.0,104.0,975700
2021-04-12,104.0,104.0,98.0,99.0,99.0,376200
2021-04-14,101.0,101.0,97.0,101.0,101.0,322400
