Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,835.0,920.0,825.0,895.0,895.0,208710100
2021-03-02,915.0,935.0,895.0,910.0,910.0,99846300
2021-03-03,915.0,925.0,860.0,880.0,880.0,47627700
2021-03-04,870.0,895.0,855.0,895.0,895.0,42270900
2021-03-05,890.0,890.0,860.0,870.0,870.0,23134700
2021-03-08,880.0,900.0,870.0,875.0,875.0,28708500
2021-03-09,875.0,910.0,865.0,885.0,885.0,57745500
2021-03-10,885.0,1010.0,885.0,995.0,995.0,178309300
2021-03-12,1005.0,1070.0,1000.0,1040.0,1040.0,83116000
2021-03-15,1050.0,1060.0,1020.0,1045.0,1045.0,41767000
2021-03-16,1055.0,1055.0,1025.0,1040.0,1040.0,17717800
2021-03-17,1040.0,1045.0,980.0,1030.0,1030.0,27515300
2021-03-18,1030.0,1040.0,1025.0,1030.0,1030.0,13929700
2021-03-19,1030.0,1030.0,995.0,1010.0,1010.0,19930300
2021-03-22,1010.0,1025.0,980.0,1000.0,1000.0,16130700
2021-03-23,1000.0,1010.0,965.0,975.0,975.0,22106100
2021-03-24,965.0,970.0,950.0,960.0,960.0,17567400
2021-03-25,960.0,965.0,915.0,960.0,960.0,32862200
2021-03-26,970.0,1020.0,960.0,1005.0,1005.0,58677900
2021-03-29,1015.0,1025.0,985.0,990.0,990.0,28061800
2021-03-30,990.0,995.0,930.0,950.0,950.0,21427600
2021-03-31,935.0,945.0,895.0,940.0,940.0,60331100
2021-04-01,940.0,950.0,920.0,925.0,925.0,47742400
2021-04-05,925.0,935.0,890.0,905.0,905.0,23697100
2021-04-06,890.0,980.0,890.0,970.0,970.0,44877800
2021-04-07,975.0,995.0,945.0,975.0,975.0,25004800
2021-04-08,975.0,985.0,965.0,980.0,980.0,9228300
2021-04-09,990.0,990.0,955.0,960.0,960.0,27540400
2021-04-12,960.0,960.0,920.0,940.0,940.0,13275700
2021-04-14,935.0,955.0,925.0,940.0,940.0,33153900
