Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1305.0,1335.0,1305.0,1320.0,1320.0,981100
2021-03-02,1320.0,1330.0,1320.0,1325.0,1325.0,503300
2021-03-03,1325.0,1365.0,1325.0,1365.0,1365.0,3686200
2021-03-04,1370.0,1400.0,1360.0,1400.0,1400.0,3120300
2021-03-05,1400.0,1405.0,1320.0,1350.0,1350.0,2202800
2021-03-08,1350.0,1350.0,1305.0,1305.0,1305.0,1035400
2021-03-09,1315.0,1315.0,1265.0,1275.0,1275.0,989200
2021-03-10,1295.0,1300.0,1265.0,1270.0,1270.0,423500
2021-03-12,1275.0,1320.0,1275.0,1315.0,1315.0,217400
2021-03-15,1315.0,1345.0,1300.0,1315.0,1315.0,798100
2021-03-16,1315.0,1315.0,1300.0,1310.0,1310.0,141600
2021-03-17,1310.0,1315.0,1285.0,1315.0,1315.0,236700
2021-03-18,1315.0,1320.0,1300.0,1305.0,1305.0,97500
2021-03-19,1305.0,1305.0,1270.0,1300.0,1300.0,360400
2021-03-22,1300.0,1305.0,1285.0,1300.0,1300.0,332200
2021-03-23,1300.0,1305.0,1270.0,1280.0,1280.0,245400
2021-03-24,1280.0,1280.0,1270.0,1275.0,1275.0,142400
2021-03-25,1270.0,1285.0,1235.0,1285.0,1285.0,568000
2021-03-26,1290.0,1305.0,1260.0,1305.0,1305.0,441400
2021-03-29,1325.0,1325.0,1285.0,1320.0,1320.0,692700
2021-03-30,1320.0,1340.0,1280.0,1330.0,1330.0,495700
2021-03-31,1330.0,1345.0,1280.0,1340.0,1340.0,639500
2021-04-01,1340.0,1345.0,1300.0,1345.0,1345.0,603200
2021-04-05,1345.0,1365.0,1340.0,1360.0,1360.0,865200
2021-04-06,1360.0,1365.0,1330.0,1360.0,1360.0,463200
2021-04-07,1365.0,1365.0,1310.0,1330.0,1330.0,258800
2021-04-08,1330.0,1355.0,1330.0,1335.0,1335.0,459300
2021-04-09,1345.0,1345.0,1305.0,1330.0,1330.0,277800
2021-04-12,1330.0,1340.0,1295.0,1305.0,1305.0,519000
2021-04-14,1320.0,1335.0,1285.0,1330.0,1330.0,293600
