Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,386.0,386.0,346.0,368.0,368.0,58800
2021-03-02,388.0,388.0,368.0,368.0,368.0,400
2021-03-03,378.0,378.0,354.0,368.0,368.0,12800
2021-03-04,378.0,400.0,360.0,366.0,366.0,169400
2021-03-05,386.0,386.0,356.0,368.0,368.0,11400
2021-03-08,388.0,388.0,360.0,370.0,370.0,8400
2021-03-09,390.0,390.0,356.0,370.0,370.0,16100
2021-03-10,390.0,390.0,366.0,378.0,378.0,75000
2021-03-12,398.0,398.0,372.0,386.0,386.0,14300
2021-03-15,400.0,400.0,382.0,388.0,388.0,9300
2021-03-16,400.0,428.0,380.0,396.0,396.0,536000
2021-03-17,472.0,472.0,390.0,390.0,390.0,273300
2021-03-18,410.0,416.0,374.0,402.0,402.0,285900
2021-03-19,422.0,438.0,388.0,390.0,390.0,839400
2021-03-22,410.0,410.0,396.0,400.0,400.0,9500
2021-03-23,462.0,462.0,390.0,392.0,392.0,27100
2021-03-24,412.0,438.0,380.0,400.0,400.0,518100
2021-03-25,480.0,480.0,388.0,394.0,394.0,92800
2021-03-26,414.0,414.0,384.0,396.0,396.0,92900
2021-03-29,416.0,416.0,390.0,400.0,400.0,32100
2021-03-30,420.0,420.0,392.0,404.0,404.0,20900
2021-03-31,424.0,424.0,396.0,398.0,398.0,21100
2021-04-01,398.0,404.0,386.0,396.0,396.0,24800
2021-04-05,416.0,416.0,384.0,398.0,398.0,3800
2021-04-06,418.0,418.0,390.0,408.0,408.0,2500
2021-04-07,428.0,428.0,390.0,410.0,410.0,2700
2021-04-08,430.0,430.0,386.0,400.0,400.0,36600
2021-04-09,420.0,420.0,382.0,396.0,396.0,76200
2021-04-12,416.0,416.0,380.0,384.0,384.0,105700
2021-04-14,400.0,400.0,374.0,388.0,388.0,5700
