Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,296.0,306.0,294.0,306.0,306.0,3306300
2021-03-02,308.0,314.0,308.0,312.0,312.0,3131500
2021-03-03,314.0,318.0,312.0,318.0,318.0,3557000
2021-03-04,314.0,314.0,304.0,308.0,308.0,2741400
2021-03-05,306.0,328.0,302.0,328.0,328.0,3727100
2021-03-08,332.0,340.0,330.0,334.0,334.0,3018400
2021-03-09,334.0,340.0,330.0,330.0,330.0,3248000
2021-03-10,330.0,330.0,326.0,330.0,330.0,2780600
2021-03-12,330.0,332.0,326.0,332.0,332.0,2750500
2021-03-15,332.0,334.0,324.0,326.0,326.0,3165300
2021-03-16,326.0,334.0,326.0,334.0,334.0,3345000
2021-03-17,334.0,334.0,324.0,324.0,324.0,3249300
2021-03-18,324.0,336.0,324.0,334.0,334.0,3358700
2021-03-19,334.0,338.0,328.0,338.0,338.0,3565300
2021-03-22,338.0,338.0,328.0,328.0,328.0,3380000
2021-03-23,328.0,336.0,328.0,332.0,332.0,3228100
2021-03-24,332.0,332.0,322.0,326.0,326.0,2947100
2021-03-25,326.0,334.0,316.0,318.0,318.0,3234200
2021-03-26,318.0,338.0,318.0,332.0,332.0,4096400
2021-03-29,334.0,354.0,334.0,354.0,354.0,4604400
2021-03-30,356.0,362.0,344.0,344.0,344.0,3917800
2021-03-31,344.0,344.0,338.0,342.0,342.0,2858400
2021-04-01,342.0,358.0,342.0,358.0,358.0,3990200
2021-04-05,358.0,358.0,348.0,356.0,356.0,3185000
2021-04-06,356.0,384.0,356.0,384.0,384.0,4873400
2021-04-07,384.0,396.0,376.0,396.0,396.0,3917300
2021-04-08,396.0,404.0,388.0,400.0,400.0,4031000
2021-04-09,400.0,406.0,390.0,392.0,392.0,3365500
2021-04-12,392.0,394.0,380.0,380.0,380.0,3178300
2021-04-14,374.0,394.0,374.0,394.0,394.0,3445200
