Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,314.0,314.0,306.0,314.0,314.0,3200
2021-03-02,314.0,314.0,304.0,308.0,308.0,33500
2021-03-03,308.0,308.0,306.0,306.0,306.0,3200
2021-03-04,306.0,310.0,306.0,308.0,308.0,27500
2021-03-05,308.0,310.0,306.0,306.0,306.0,4200
2021-03-08,310.0,312.0,306.0,310.0,310.0,16100
2021-03-09,310.0,316.0,310.0,310.0,310.0,32900
2021-03-10,310.0,318.0,310.0,314.0,314.0,5200
2021-03-12,314.0,314.0,314.0,314.0,314.0,11800
2021-03-15,314.0,316.0,312.0,314.0,314.0,23300
2021-03-16,314.0,316.0,314.0,316.0,316.0,7500
2021-03-17,314.0,314.0,312.0,312.0,312.0,8500
2021-03-18,318.0,318.0,312.0,314.0,314.0,5300
2021-03-19,314.0,316.0,314.0,316.0,316.0,25100
2021-03-22,314.0,320.0,314.0,316.0,316.0,6300
2021-03-23,314.0,316.0,314.0,314.0,314.0,21100
2021-03-24,316.0,316.0,312.0,316.0,316.0,427900
2021-03-25,316.0,316.0,314.0,316.0,316.0,40200
2021-03-26,320.0,378.0,320.0,370.0,370.0,12729900
2021-03-29,376.0,450.0,374.0,398.0,398.0,5340000
2021-03-30,398.0,420.0,390.0,398.0,398.0,665900
2021-03-31,396.0,406.0,372.0,388.0,388.0,972100
2021-04-01,390.0,390.0,370.0,372.0,372.0,765100
2021-04-05,374.0,388.0,372.0,376.0,376.0,588900
2021-04-06,376.0,396.0,376.0,392.0,392.0,389600
2021-04-07,392.0,410.0,388.0,396.0,396.0,549700
2021-04-08,396.0,410.0,396.0,400.0,400.0,133200
2021-04-09,400.0,414.0,400.0,414.0,414.0,431700
2021-04-12,418.0,444.0,414.0,428.0,428.0,1329400
2021-04-14,422.0,430.0,410.0,420.0,420.0,466000
