Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,179.0,179.0,166.0,167.0,167.0,358300
2021-03-02,167.0,168.0,167.0,168.0,168.0,66300
2021-03-03,170.0,170.0,158.0,168.0,168.0,30000
2021-03-04,159.0,166.0,157.0,159.0,159.0,229000
2021-03-05,159.0,160.0,148.0,159.0,159.0,649500
2021-03-08,155.0,161.0,155.0,161.0,161.0,58900
2021-03-09,161.0,161.0,150.0,153.0,153.0,641600
2021-03-10,154.0,158.0,154.0,155.0,155.0,26300
2021-03-12,158.0,208.0,158.0,208.0,208.0,1672000
2021-03-15,222.0,260.0,208.0,258.0,258.0,5287800
2021-03-16,270.0,300.0,240.0,242.0,242.0,4853500
2021-03-17,242.0,242.0,226.0,234.0,234.0,1459100
2021-03-18,234.0,242.0,224.0,224.0,224.0,230900
2021-03-19,226.0,238.0,216.0,218.0,218.0,685700
2021-03-22,218.0,250.0,212.0,230.0,230.0,938700
2021-03-23,230.0,240.0,222.0,228.0,228.0,203800
2021-03-24,220.0,250.0,218.0,218.0,218.0,159800
2021-03-25,222.0,244.0,220.0,220.0,220.0,422100
2021-03-26,220.0,230.0,218.0,220.0,220.0,76600
2021-03-29,218.0,218.0,206.0,206.0,206.0,1338200
2021-03-30,206.0,206.0,192.0,192.0,192.0,403100
2021-03-31,195.0,234.0,195.0,200.0,200.0,540500
2021-04-01,204.0,204.0,186.0,189.0,189.0,313900
2021-04-05,195.0,195.0,177.0,177.0,177.0,210600
2021-04-06,177.0,177.0,172.0,172.0,172.0,144000
2021-04-07,170.0,206.0,169.0,175.0,175.0,102300
2021-04-08,175.0,198.0,175.0,181.0,181.0,85700
2021-04-09,181.0,197.0,180.0,191.0,191.0,135200
2021-04-12,193.0,202.0,180.0,185.0,185.0,114200
2021-04-14,182.0,182.0,175.0,175.0,175.0,234800
