Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,104.0,104.0,101.0,102.0,102.0,69600
2021-03-02,102.0,104.0,100.0,101.0,101.0,189500
2021-03-03,101.0,102.0,100.0,100.0,100.0,225700
2021-03-04,101.0,104.0,99.0,104.0,104.0,324600
2021-03-05,101.0,102.0,97.0,97.0,97.0,1066200
2021-03-08,101.0,103.0,94.0,99.0,99.0,346800
2021-03-09,101.0,101.0,97.0,98.0,98.0,306400
2021-03-10,101.0,105.0,98.0,98.0,98.0,167500
2021-03-12,99.0,104.0,98.0,104.0,104.0,343800
2021-03-15,100.0,104.0,99.0,100.0,100.0,130600
2021-03-16,100.0,103.0,99.0,99.0,99.0,34700
2021-03-17,102.0,103.0,99.0,100.0,100.0,453800
2021-03-18,101.0,104.0,100.0,101.0,101.0,260100
2021-03-19,102.0,102.0,99.0,101.0,101.0,182200
2021-03-22,100.0,105.0,99.0,100.0,100.0,304600
2021-03-23,102.0,103.0,100.0,101.0,101.0,135200
2021-03-24,103.0,103.0,99.0,100.0,100.0,545900
2021-03-25,100.0,103.0,98.0,100.0,100.0,162900
2021-03-26,101.0,104.0,94.0,101.0,101.0,317700
2021-03-29,99.0,101.0,99.0,100.0,100.0,36300
2021-03-30,100.0,103.0,97.0,98.0,98.0,349700
2021-03-31,98.0,100.0,96.0,97.0,97.0,737000
2021-04-01,97.0,102.0,97.0,98.0,98.0,68500
2021-04-05,98.0,102.0,97.0,98.0,98.0,221300
2021-04-06,97.0,102.0,96.0,96.0,96.0,400000
2021-04-07,98.0,98.0,96.0,96.0,96.0,189800
2021-04-08,98.0,103.0,96.0,100.0,100.0,1482200
2021-04-09,104.0,104.0,98.0,100.0,100.0,262500
2021-04-12,98.0,103.0,97.0,98.0,98.0,649200
2021-04-14,98.0,100.0,97.0,98.0,98.0,199000
