Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,8975.0,9050.0,8950.0,8975.0,8975.0,12101800
2021-03-02,9000.0,9075.0,8975.0,9050.0,9050.0,10749900
2021-03-03,9050.0,9200.0,9050.0,9100.0,9100.0,11278400
2021-03-04,9100.0,9175.0,8875.0,8925.0,8925.0,11396200
2021-03-05,8925.0,8925.0,8500.0,8850.0,8850.0,11635100
2021-03-08,8850.0,9075.0,8800.0,8825.0,8825.0,11823600
2021-03-09,8850.0,8875.0,8675.0,8800.0,8800.0,12586000
2021-03-10,8950.0,9150.0,8950.0,8975.0,8975.0,14480700
2021-03-12,8975.0,9250.0,8975.0,9150.0,9150.0,14115800
2021-03-15,9150.0,9250.0,9025.0,9125.0,9125.0,15156000
2021-03-16,9150.0,9300.0,9125.0,9200.0,9200.0,16912900
2021-03-17,9200.0,9425.0,9200.0,9200.0,9200.0,17840300
2021-03-18,9200.0,9450.0,9200.0,9350.0,9350.0,23178900
2021-03-19,9350.0,9450.0,9300.0,9300.0,9300.0,13661700
2021-03-22,9300.0,9400.0,9075.0,9250.0,9250.0,12194800
2021-03-23,9275.0,9325.0,8950.0,8950.0,8950.0,9644000
2021-03-24,8950.0,8950.0,8550.0,8550.0,8550.0,12450900
2021-03-25,8575.0,8725.0,8125.0,8475.0,8475.0,9827800
2021-03-26,8475.0,8675.0,8325.0,8550.0,8550.0,8576200
2021-03-29,8575.0,8625.0,8125.0,8150.0,8150.0,5438400
2021-03-30,8150.0,8150.0,7750.0,7800.0,7800.0,5886000
2021-03-31,7750.0,8150.0,7700.0,7700.0,7700.0,4957900
2021-04-01,7825.0,8200.0,7650.0,7775.0,7775.0,5038900
2021-04-05,7775.0,7950.0,7500.0,7500.0,7500.0,5190700
2021-04-06,7500.0,7550.0,7225.0,7500.0,7500.0,7113900
2021-04-07,7500.0,8000.0,7500.0,8000.0,8000.0,6714200
2021-04-08,8000.0,8125.0,7450.0,7525.0,7525.0,7031000
2021-04-09,7525.0,7850.0,7350.0,7775.0,7775.0,9059400
2021-04-12,7800.0,7900.0,7325.0,7425.0,7425.0,7272800
2021-04-14,7150.0,7350.0,7100.0,7250.0,7250.0,7467000
