Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,436.0,450.0,430.0,430.0,430.0,75900
2021-03-02,450.0,450.0,430.0,446.0,446.0,2900
2021-03-03,446.0,446.0,446.0,446.0,446.0,100
2021-03-04,444.0,446.0,430.0,430.0,430.0,6000
2021-03-05,416.0,418.0,410.0,414.0,414.0,72500
2021-03-08,414.0,424.0,398.0,418.0,418.0,48300
2021-03-09,430.0,430.0,390.0,390.0,390.0,206400
2021-03-10,420.0,420.0,394.0,414.0,414.0,23700
2021-03-12,414.0,414.0,386.0,386.0,386.0,52300
2021-03-15,386.0,386.0,382.0,382.0,382.0,34400
2021-03-16,378.0,380.0,378.0,378.0,378.0,34400
2021-03-17,378.0,380.0,370.0,370.0,370.0,4200
2021-03-18,370.0,458.0,370.0,436.0,436.0,34700
2021-03-19,438.0,450.0,434.0,434.0,434.0,108800
2021-03-22,432.0,432.0,404.0,404.0,404.0,3000
2021-03-23,402.0,410.0,402.0,402.0,402.0,4200
2021-03-24,402.0,402.0,378.0,390.0,390.0,4500
2021-03-25,402.0,450.0,402.0,408.0,408.0,104900
2021-03-26,408.0,414.0,408.0,412.0,412.0,8400
2021-03-29,424.0,424.0,416.0,416.0,416.0,800
2021-03-30,396.0,412.0,388.0,388.0,388.0,20400
2021-03-31,388.0,400.0,364.0,368.0,368.0,14600
2021-04-01,390.0,390.0,378.0,378.0,378.0,1100
2021-04-05,376.0,400.0,360.0,360.0,360.0,7900
2021-04-06,366.0,372.0,336.0,350.0,350.0,43800
2021-04-07,350.0,370.0,336.0,350.0,350.0,45200
2021-04-08,330.0,370.0,328.0,336.0,336.0,19900
2021-04-09,328.0,336.0,328.0,336.0,336.0,1100
2021-04-12,336.0,336.0,328.0,328.0,328.0,33900
2021-04-14,330.0,340.0,330.0,330.0,330.0,1400
