Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,555.0,570.0,550.0,570.0,570.0,913000
2021-03-02,570.0,585.0,560.0,575.0,575.0,894700
2021-03-03,575.0,590.0,560.0,560.0,560.0,1010700
2021-03-04,560.0,620.0,540.0,595.0,595.0,1259500
2021-03-05,610.0,620.0,595.0,600.0,600.0,1041100
2021-03-08,600.0,605.0,580.0,580.0,580.0,930000
2021-03-09,605.0,705.0,580.0,675.0,675.0,3090400
2021-03-10,675.0,800.0,675.0,720.0,720.0,2282900
2021-03-12,725.0,750.0,700.0,745.0,745.0,730800
2021-03-15,745.0,770.0,740.0,750.0,750.0,758200
2021-03-16,750.0,830.0,745.0,790.0,790.0,1156700
2021-03-17,800.0,815.0,760.0,800.0,800.0,624500
2021-03-18,780.0,830.0,780.0,830.0,830.0,51666400
2021-03-19,840.0,980.0,820.0,905.0,905.0,3992200
2021-03-22,920.0,920.0,845.0,875.0,875.0,1779200
2021-03-23,875.0,905.0,845.0,870.0,870.0,595800
2021-03-24,830.0,885.0,830.0,885.0,885.0,1590700
2021-03-25,885.0,890.0,830.0,865.0,865.0,1179500
2021-03-26,865.0,885.0,815.0,875.0,875.0,641800
2021-03-29,880.0,900.0,870.0,885.0,885.0,576600
2021-03-30,885.0,900.0,870.0,870.0,870.0,565200
2021-03-31,880.0,900.0,865.0,885.0,885.0,707900
2021-04-01,900.0,915.0,825.0,885.0,885.0,14178200
2021-04-05,900.0,1105.0,900.0,1105.0,1105.0,2166200
2021-04-06,1150.0,1380.0,1150.0,1380.0,1380.0,1514400
2021-04-07,1380.0,1725.0,1330.0,1690.0,1690.0,3857400
2021-04-08,1700.0,1800.0,1575.0,1620.0,1620.0,2723300
2021-04-09,1620.0,1705.0,1615.0,1665.0,1665.0,841300
2021-04-12,1675.0,1720.0,1650.0,1695.0,1695.0,776300
2021-04-14,1705.0,2000.0,1685.0,1930.0,1930.0,11984500
