Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,520.0,520.0,520.0,520.0,520.0,0
2021-03-02,520.0,520.0,520.0,520.0,520.0,0
2021-03-03,520.0,520.0,520.0,520.0,520.0,100
2021-03-04,520.0,520.0,520.0,520.0,520.0,0
2021-03-05,520.0,520.0,520.0,520.0,520.0,0
2021-03-08,520.0,520.0,520.0,520.0,520.0,0
2021-03-09,484.0,484.0,484.0,484.0,484.0,700
2021-03-10,500.0,560.0,452.0,452.0,452.0,32600
2021-03-12,452.0,500.0,452.0,452.0,452.0,1300
2021-03-15,452.0,452.0,452.0,452.0,452.0,100
2021-03-16,452.0,452.0,452.0,452.0,452.0,2500
2021-03-17,452.0,452.0,452.0,452.0,452.0,100
2021-03-18,452.0,550.0,422.0,510.0,510.0,3300
2021-03-19,510.0,510.0,510.0,510.0,510.0,1800
2021-03-22,510.0,510.0,490.0,500.0,500.0,1000
2021-03-23,468.0,555.0,468.0,470.0,470.0,2600
2021-03-24,470.0,470.0,440.0,440.0,440.0,200
2021-03-25,440.0,440.0,440.0,440.0,440.0,0
2021-03-26,440.0,440.0,440.0,440.0,440.0,100
2021-03-29,440.0,440.0,440.0,440.0,440.0,0
2021-03-30,440.0,440.0,440.0,440.0,440.0,0
2021-03-31,440.0,440.0,440.0,440.0,440.0,100
2021-04-01,442.0,442.0,410.0,410.0,410.0,200
2021-04-05,492.0,500.0,492.0,500.0,500.0,900
2021-04-06,500.0,625.0,500.0,590.0,590.0,13400
2021-04-07,590.0,590.0,550.0,555.0,555.0,1000
2021-04-08,555.0,555.0,520.0,520.0,520.0,3400
2021-04-09,484.0,486.0,484.0,486.0,486.0,5200
2021-04-12,484.0,486.0,484.0,484.0,484.0,1300
2021-04-14,484.0,585.0,476.0,525.0,525.0,8000
