Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,192.0,195.0,190.0,192.0,192.0,15886300
2021-03-02,192.0,194.0,190.0,190.0,190.0,9519600
2021-03-03,191.0,193.0,183.0,185.0,185.0,29412900
2021-03-04,185.0,185.0,174.0,175.0,175.0,33364300
2021-03-05,175.0,184.0,170.0,174.0,174.0,27693800
2021-03-08,175.0,187.0,174.0,183.0,183.0,41792200
2021-03-09,184.0,188.0,174.0,176.0,176.0,31719700
2021-03-10,177.0,184.0,175.0,180.0,180.0,32752500
2021-03-12,182.0,182.0,177.0,179.0,179.0,15549200
2021-03-15,179.0,184.0,176.0,180.0,180.0,37259800
2021-03-16,181.0,182.0,175.0,176.0,176.0,13001300
2021-03-17,177.0,178.0,174.0,175.0,175.0,15240600
2021-03-18,177.0,177.0,173.0,174.0,174.0,7410100
2021-03-19,174.0,174.0,171.0,172.0,172.0,7292100
2021-03-22,170.0,172.0,166.0,166.0,166.0,15834700
2021-03-23,165.0,174.0,161.0,162.0,162.0,30252000
2021-03-24,160.0,163.0,151.0,151.0,151.0,27140000
2021-03-25,141.0,153.0,141.0,141.0,141.0,21150300
2021-03-26,142.0,151.0,139.0,142.0,142.0,39619700
2021-03-29,133.0,150.0,133.0,140.0,140.0,19951200
2021-03-30,139.0,145.0,134.0,136.0,136.0,13525200
2021-03-31,136.0,139.0,127.0,131.0,131.0,30012600
2021-04-01,129.0,131.0,126.0,128.0,128.0,18015200
2021-04-05,129.0,129.0,123.0,124.0,124.0,15130100
2021-04-06,123.0,131.0,120.0,126.0,126.0,26279000
2021-04-07,126.0,127.0,123.0,126.0,126.0,7609200
2021-04-08,126.0,138.0,124.0,137.0,137.0,65918600
2021-04-09,133.0,140.0,129.0,130.0,130.0,24978900
2021-04-12,131.0,133.0,123.0,124.0,124.0,13408800
2021-04-14,152.0,168.0,151.0,168.0,168.0,440289000
