Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,318.0,318.0,310.0,318.0,318.0,51400
2021-03-02,310.0,314.0,310.0,310.0,310.0,61800
2021-03-03,310.0,372.0,304.0,352.0,352.0,9687300
2021-03-04,352.0,366.0,328.0,328.0,328.0,3405100
2021-03-05,328.0,328.0,306.0,308.0,308.0,760200
2021-03-08,360.0,384.0,360.0,384.0,384.0,3415500
2021-03-09,412.0,442.0,358.0,374.0,374.0,10744600
2021-03-10,376.0,390.0,376.0,388.0,388.0,922400
2021-03-12,394.0,396.0,380.0,386.0,386.0,829000
2021-03-15,386.0,394.0,378.0,380.0,380.0,567000
2021-03-16,380.0,382.0,360.0,360.0,360.0,538400
2021-03-17,360.0,360.0,340.0,360.0,360.0,591200
2021-03-18,362.0,362.0,342.0,342.0,342.0,522300
2021-03-19,342.0,400.0,342.0,382.0,382.0,2366600
2021-03-22,392.0,398.0,372.0,382.0,382.0,1361900
2021-03-23,382.0,382.0,370.0,370.0,370.0,913200
2021-03-24,368.0,392.0,360.0,378.0,378.0,1307100
2021-03-25,382.0,384.0,356.0,380.0,380.0,935400
2021-03-26,380.0,380.0,366.0,368.0,368.0,193700
2021-03-29,368.0,396.0,368.0,370.0,370.0,718500
2021-03-30,370.0,374.0,356.0,372.0,372.0,326200
2021-03-31,360.0,370.0,350.0,352.0,352.0,318200
2021-04-01,352.0,370.0,352.0,358.0,358.0,91900
2021-04-05,358.0,372.0,358.0,366.0,366.0,134900
2021-04-06,366.0,366.0,354.0,356.0,356.0,52800
2021-04-07,356.0,372.0,356.0,366.0,366.0,195700
2021-04-08,368.0,380.0,360.0,368.0,368.0,413600
2021-04-09,362.0,370.0,352.0,358.0,358.0,283100
2021-04-12,358.0,380.0,358.0,380.0,380.0,787500
2021-04-14,402.0,418.0,390.0,400.0,400.0,2421200
