Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,50.0,50.0,50.0,50.0,50.0,113700
2021-03-02,50.0,50.0,50.0,50.0,50.0,33000
2021-03-03,50.0,50.0,50.0,50.0,50.0,4500
2021-03-04,50.0,50.0,50.0,50.0,50.0,34300
2021-03-05,50.0,50.0,50.0,50.0,50.0,13300
2021-03-08,50.0,50.0,50.0,50.0,50.0,163100
2021-03-09,50.0,50.0,50.0,50.0,50.0,63500
2021-03-10,50.0,50.0,50.0,50.0,50.0,200600
2021-03-12,50.0,50.0,50.0,50.0,50.0,26800
2021-03-15,50.0,50.0,50.0,50.0,50.0,18600
2021-03-16,50.0,50.0,50.0,50.0,50.0,131500
2021-03-17,50.0,50.0,50.0,50.0,50.0,15500
2021-03-18,50.0,50.0,50.0,50.0,50.0,200200
2021-03-19,50.0,50.0,50.0,50.0,50.0,24300
2021-03-22,50.0,50.0,50.0,50.0,50.0,846400
2021-03-23,50.0,50.0,50.0,50.0,50.0,9000
2021-03-24,50.0,50.0,50.0,50.0,50.0,104800
2021-03-25,50.0,50.0,50.0,50.0,50.0,1100
2021-03-26,50.0,50.0,50.0,50.0,50.0,720000
2021-03-29,50.0,50.0,50.0,50.0,50.0,3200
2021-03-30,50.0,50.0,50.0,50.0,50.0,3400
2021-03-31,50.0,50.0,50.0,50.0,50.0,24600
2021-04-01,50.0,50.0,50.0,50.0,50.0,81100
2021-04-05,50.0,50.0,50.0,50.0,50.0,2200
2021-04-06,50.0,50.0,50.0,50.0,50.0,59400
2021-04-07,50.0,50.0,50.0,50.0,50.0,18700
2021-04-08,50.0,50.0,50.0,50.0,50.0,20300
2021-04-09,50.0,50.0,50.0,50.0,50.0,157500
2021-04-12,50.0,50.0,50.0,50.0,50.0,10900
2021-04-14,50.0,50.0,50.0,50.0,50.0,370000
