Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,216.0,216.0,210.0,212.0,212.0,213200
2021-03-02,214.0,214.0,212.0,214.0,214.0,316500
2021-03-03,216.0,220.0,210.0,216.0,216.0,837900
2021-03-04,216.0,226.0,214.0,214.0,214.0,896300
2021-03-05,216.0,240.0,210.0,214.0,214.0,6708600
2021-03-08,216.0,220.0,212.0,212.0,212.0,772000
2021-03-09,214.0,214.0,210.0,214.0,214.0,347100
2021-03-10,214.0,214.0,212.0,214.0,214.0,150000
2021-03-12,212.0,216.0,210.0,214.0,214.0,574000
2021-03-15,216.0,218.0,212.0,216.0,216.0,389300
2021-03-16,216.0,228.0,216.0,224.0,224.0,3385800
2021-03-17,224.0,224.0,214.0,216.0,216.0,867900
2021-03-18,216.0,216.0,212.0,214.0,214.0,1020400
2021-03-19,214.0,230.0,212.0,220.0,220.0,712800
2021-03-22,220.0,222.0,214.0,220.0,220.0,192200
2021-03-23,220.0,220.0,216.0,218.0,218.0,197700
2021-03-24,216.0,218.0,212.0,216.0,216.0,392000
2021-03-25,216.0,216.0,212.0,214.0,214.0,283400
2021-03-26,214.0,218.0,214.0,214.0,214.0,47200
2021-03-29,214.0,216.0,212.0,216.0,216.0,776000
2021-03-30,216.0,218.0,212.0,214.0,214.0,712900
2021-03-31,214.0,214.0,212.0,212.0,212.0,716100
2021-04-01,212.0,216.0,210.0,210.0,210.0,92900
2021-04-05,210.0,216.0,210.0,212.0,212.0,123100
2021-04-06,212.0,216.0,210.0,210.0,210.0,190300
2021-04-07,210.0,216.0,210.0,214.0,214.0,172100
2021-04-08,212.0,214.0,212.0,214.0,214.0,52700
2021-04-09,214.0,216.0,212.0,214.0,214.0,101700
2021-04-12,214.0,214.0,212.0,214.0,214.0,15200
2021-04-14,210.0,214.0,210.0,214.0,214.0,63600
