Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,404.0,404.0,392.0,394.0,394.0,1266700
2021-03-02,394.0,394.0,388.0,390.0,390.0,1591800
2021-03-03,390.0,390.0,388.0,388.0,388.0,944200
2021-03-04,386.0,388.0,384.0,384.0,384.0,915400
2021-03-05,384.0,384.0,376.0,380.0,380.0,721300
2021-03-08,380.0,382.0,378.0,380.0,380.0,926800
2021-03-09,380.0,430.0,370.0,370.0,370.0,14775200
2021-03-10,372.0,378.0,368.0,374.0,374.0,1501400
2021-03-12,374.0,374.0,368.0,374.0,374.0,1143900
2021-03-15,374.0,386.0,374.0,378.0,378.0,7938400
2021-03-16,378.0,404.0,378.0,404.0,404.0,11237200
2021-03-17,408.0,440.0,376.0,376.0,376.0,61572600
2021-03-18,376.0,380.0,350.0,366.0,366.0,14139700
2021-03-19,366.0,372.0,354.0,354.0,354.0,7075100
2021-03-22,352.0,354.0,336.0,336.0,336.0,6184900
2021-03-23,336.0,354.0,332.0,344.0,344.0,18146900
2021-03-24,344.0,350.0,328.0,328.0,328.0,5649600
2021-03-25,328.0,350.0,306.0,306.0,306.0,19093500
2021-03-26,308.0,312.0,304.0,306.0,306.0,1916200
2021-03-29,306.0,310.0,294.0,294.0,294.0,5076500
2021-03-30,294.0,304.0,284.0,290.0,290.0,8542500
2021-03-31,290.0,290.0,282.0,282.0,282.0,2587700
2021-04-01,282.0,284.0,278.0,280.0,280.0,2012900
2021-04-05,280.0,290.0,280.0,286.0,286.0,2857100
2021-04-06,286.0,322.0,266.0,266.0,266.0,39072000
2021-04-07,266.0,266.0,248.0,252.0,252.0,4830100
2021-04-08,252.0,252.0,244.0,252.0,252.0,2337800
2021-04-09,252.0,266.0,250.0,252.0,252.0,7116300
2021-04-12,252.0,296.0,252.0,270.0,270.0,48832600
2021-04-14,250.0,258.0,236.0,236.0,236.0,21125100
